1	66
2	23
3	46
4	1
5	19
6	43
7	3
8	15
9	6
10	18
11	16
12	97
13	40
14	117
15	53
16	81
1	34
2	13
3	1
4	14
5	59
6	81
7	60
8	52
9	92
10	72
11	44
12	49
13	27
14	64
15	5
16	24
1	27
2	18
3	1
4	14
5	74
6	80
7	13
8	37
9	7
10	151
11	28
12	30
13	96
14	38
15	54
16	57
1	1
2	11
3	55
4	213
5	135
6	148
7	26
8	24
9	38
10	106
11	12
12	62
13	25
14	63
15	28
16	78
1	38
2	77
3	228
4	160
5	17
6	246
7	13
8	204
9	61
10	223
11	162
12	218
13	47
14	176
15	199
16	88
1	5
2	7
3	32
4	3
5	60
6	35
7	18
8	76
9	64
10	1
11	17
12	50
13	92
14	122
15	79
16	66
1	6
2	3
3	1
4	2
5	71
6	48
7	132
8	30
9	20
10	40
11	4
12	12
13	95
14	52
15	127
16	29
1	6
2	23
3	8
4	50
5	2
6	3
7	61
8	64
9	90
10	9
11	58
12	91
13	55
14	24
15	97
16	76
1	20
2	4
3	1
4	15
5	31
6	64
7	29
8	84
9	56
10	183
11	9
12	23
13	54
14	10
15	79
16	24
1	53
2	31
3	36
4	35
5	194
6	7
7	4
8	1
9	10
10	48
11	17
12	21
13	2
14	88
15	5
16	25
1	28
2	21
3	29
4	17
5	16
6	33
7	34
8	13
9	27
10	42
11	45
12	5
13	7
14	44
15	130
16	97
1	159
2	29
3	1
4	18
5	16
6	10
7	31
8	145
9	67
10	9
11	37
12	134
13	7
14	130
15	22
16	110
1	1
2	4
3	51
4	3
5	63
6	100
7	56
8	111
9	5
10	76
11	40
12	45
13	13
14	64
15	11
16	22
1	2
2	6
3	5
4	63
5	30
6	99
7	9
8	46
9	11
10	12
11	20
12	4
13	7
14	51
15	143
16	79
1	3
2	2
3	186
4	41
5	18
6	162
7	84
8	16
9	8
10	35
11	11
12	61
13	36
14	111
15	20
16	52
1	4
2	38
3	48
4	78
5	2
6	43
7	236
8	187
9	1
10	11
11	23
12	10
13	96
14	27
15	69
16	228
1	1
2	38
3	23
4	53
5	11
6	2
7	58
8	122
9	121
10	54
11	24
12	16
13	57
14	6
15	61
16	8
1	11
2	43
3	2
4	28
5	5
6	87
7	57
8	34
9	37
10	82
11	138
12	48
13	189
14	209
15	45
16	124
1	2
2	100
3	8
4	13
5	42
6	9
7	99
8	39
9	35
10	26
11	70
12	1
13	3
14	44
15	105
16	154
1	4
2	20
3	27
4	3
5	58
6	61
7	32
8	121
9	29
10	5
11	41
12	67
13	25
14	15
15	81
16	47
1	3
2	5
3	9
4	76
5	56
6	6
7	11
8	7
9	29
10	48
11	46
12	21
13	111
14	181
15	22
16	28
1	20
2	43
3	4
4	12
5	88
6	5
7	51
8	16
9	15
10	36
11	23
12	11
13	8
14	63
15	61
16	34
1	60
2	1
3	84
4	23
5	40
6	57
7	74
8	12
9	42
10	26
11	2
12	158
13	4
14	128
15	58
16	7
1	19
2	10
3	32
4	45
5	44
6	6
7	72
8	3
9	14
10	59
11	4
12	70
13	54
14	33
15	25
16	92
1	4
2	1
3	7
4	88
5	15
6	65
7	53
8	3
9	9
10	96
11	5
12	12
13	157
14	94
15	73
16	89
1	1
2	25
3	13
4	63
5	31
6	5
7	122
8	182
9	9
10	3
11	44
12	141
13	7
14	33
15	11
16	131
1	4
2	7
3	16
4	123
5	1
6	13
7	68
8	17
9	25
10	35
11	48
12	2
13	54
14	24
15	14
16	123
1	2
2	33
3	4
4	10
5	35
6	16
7	59
8	43
9	127
10	1
11	104
12	9
13	135
14	64
15	3
16	136
1	25
2	11
3	37
4	66
5	15
6	9
7	48
8	28
9	4
10	116
11	17
12	21
13	34
14	58
15	55
16	27
1	16
2	114
3	13
4	24
5	1
6	8
7	62
8	32
9	30
10	11
11	37
12	50
13	64
14	22
15	19
16	18
1	16
2	75
3	1
4	85
5	50
6	4
7	3
8	32
9	33
10	58
11	7
12	14
13	132
14	17
15	55
16	136
1	2
2	3
3	40
4	57
5	209
6	11
7	73
8	146
9	64
10	4
11	43
12	44
13	39
14	32
15	56
16	34
1	47
2	24
3	3
4	13
5	2
6	14
7	21
8	16
9	8
10	12
11	63
12	17
13	51
14	11
15	28
16	36
1	7
2	39
3	1
4	4
