RANK;ATHLETE;NATION;Manama A;Riga A;San Salvador A;Luxembourg A;Heraklion A;Udine A;Šabac A;Bâle A;Dubai CHZ;Lagos CHZ;Sochi CHZ;San-Jose CHZ;Verona CHM;TOTAL
60;MICHALAK Damian;POL;;8.00;;1.00;4.00;;;4.00;;;6.00;;2.50;25.50
61;BANYAI Botond;HUN;;20.00;;;2.00;1.00;2.00;;;;;;;25.00
62;SELLS Alexander;AUS;14.00;0.00;;4.00;;;0.00;1.00;6.00;;;;;25.00
63;GUERRA Federico;ITA;;0.00;;14.00;1.00;1.00;4.00;4.00;;;;;;24.00
64;PRECY Thomas;FRA;;14.00;;4.00;4.00;1.00;0.00;1.00;;;;;;24.00
65;DILIBERTO Luca;ITA;;;;1.00;;14.00;0.00;8.00;;;;;;23.00
66;SANER Harry;RSA;2.00;;;;;;;;;21.00;;;0.00;23.00
67;PIANFETTI Andric;FRA;;2.00;;4.00;4.00;1.00;4.00;8.00;;;;;;23.00
68;KESAEV Alan;RUS;;;;20.00;0.00;0.00;0.00;2.00;;;;;;22.00
69;GUSMAN Agustin Adolfo;ARG;;;;;;;1.00;4.00;;;;12.00;5.00;22.00
70;PIZENBERG Jacob;ISR;;2.00;;;;;;;;;;;20.00;22.00
71;DIAZ Jorge;MEX;;;;;;;;;;;;21.00;;21.00
71;BEUGRE Bedi Paul Alex;CIV;;;;;;;;;;21.00;;;;21.00
73;ALI-MOUSSA Jibril;ALG;;;;;;;;;;21.00;;;;21.00
74;RAMADAN Ibrahim;EGY;;;;;;;;;;21.00;;;0.00;21.00
75;SUAREZ SANTIUSTE Yordano De La Caridad;CUB;;;;;;;;;;;;21.00;;21.00
76;SANCHEZ Aldo;MEX;;;;;;;;;;;;21.00;0.00;21.00
77;MACSKA Adam;HUN;;2.00;;;4.00;8.00;4.00;;;;3.00;;;21.00
78;VALDERRAMA Jorge;CHI;;;;;;;;4.00;;;;12.00;5.00;21.00
79;DE JESUS Juan Francisco;ESA;;;14.00;;;;;;;;;6.00;;20.00
80;MOLLUSO Marco;ITA;;4.00;;2.00;4.00;2.00;8.00;;;;;;;20.00
81;ALDAWOOD Jawad;KSA;8.00;;;;;;0.00;;12.00;;;;;20.00
82;YASU Masato;JPN;;4.00;;;;;;1.00;12.00;;;;2.50;19.50
83;EAST William;GBR;2.00;0.00;14.00;1.00;;2.00;;0.00;;;;;;19.00
84;FAFARD Fynn;CAN;;;;1.00;;;1.00;;;;;12.00;5.00;19.00
85;HATZ Nick;SUI;2.00;0.00;;8.00;0.00;2.00;0.00;1.00;;;6.00;;0.00;19.00
86;SZEP Marton;ROU;;0.00;;;8.00;4.00;4.00;;;;3.00;;;19.00
87;BOBROV Ilian;EST;;0.00;;0.00;1.00;0.00;1.00;0.00;;;12.00;;5.00;19.00
88;PEREZ ONDARTS Lucio;ARG;;;;;;;;2.00;;;;12.00;5.00;19.00
89;TAURIAINEN Topias;FIN;;0.00;;8.00;;1.00;4.00;;;;6.00;;0.00;19.00
90;GUDERA Jonas;GER;;8.00;;;2.00;;2.00;2.00;;;0.00;;5.00;19.00
91;GORBACHUK Yevgeniy;UKR;;0.00;;;4.00;;2.00;;;;3.00;;10.00;19.00
92;SANDERS Ian;USA;;14.00;;;0.00;;4.00;;;;;;;18.00
93;PONCIN Nicolas;BEL;8.00;0.00;;8.00;2.00;0.00;0.00;0.00;;;0.00;;0.00;18.00
94;ALVES Goncalo;POR;;;;2.00;;;;;;;6.00;;10.00;18.00
95;BALZANO Marco;ITA;;;;;;14.00;1.00;2.00;;;;;;17.00
96;HO Hon Kiu;HKG;;;;;;;;;12.00;;;;5.00;17.00
97;BENDE Bence;HUN;;8.00;;;4.00;1.00;4.00;;;;;;;17.00
98;ABED Faisal;KSA;4.00;;;;;;2.00;;6.00;;;;5.00;17.00
99;BONAMIGO Gabriel;BRA;;;;;;4.00;0.00;;;;;12.00;0.00;16.00
