RANK;ATHLETE;NATION;Manama A;Riga A;San Salvador A;Luxembourg A;Heraklion A;Udine A;Šabac A;Bâle A;Dubai CHZ;Lagos CHZ;Sochi CHZ;San-Jose CHZ;Verona CHM;TOTAL
289;KONDRING Philipp;GER;;2.00;;;;;;;;;;;;2.00
291;AL-KHRASHAAN Yousef;KUW;2.00;;;;;;;;;;;;;2.00
292;AJMI Muntadher;IRQ;2.00;;;;;;;;;;;;;2.00
292;FONTANA Davide;ITA;;;;;;;;2.00;;;;;;2.00
294;RAJENDRAN SHANTHIMOL Sherjin;IND;2.00;;;;;;;;;;;;0.00;2.00
295;ARNONE Alberto;ITA;;;;;;;;2.00;;;;;;2.00
296;BEYHAN Burak;TUR;2.00;;;;;;;;;;;;;2.00
296;CHMUT Anton;USA;;;;;;;2.00;;;;;;;2.00
296;BAYRAM Issa;FRA;;;;;;;;2.00;;;;;;2.00
299;POPA Daniel;ROU;;;;;;;2.00;;;;;;0.00;2.00
300;NINOMIYA Kosuke;JPN;;;;2.00;;;;0.00;;;;;;2.00
301;HAN Elliot Yi Heng;SGP;;;;2.00;;;;;0.00;;;;0.00;2.00
302;KHAMIS Hamad;BRN;2.00;;;;;;;;;;;;;2.00
303;BELSELAH Khalid;UAE;2.00;;;;;;;;0.00;;;;0.00;2.00
304;ALEGRE Rodrigo;ESP;;;;;;0.00;2.00;0.00;;;0.00;;;2.00
305;PIACHYNSKI Uladzislau;BLR;;0.00;;2.00;;0.00;;;;;;;;2.00
306;EKENLER Alperen;TUR;2.00;;;;;;;;;;;;;2.00
306;SHVELIDZE Dmitrii;RUS;;;;;;;;2.00;;;;;;2.00
308;KRALEV Presiyan;BUL;;;;;;;2.00;;;;;;;2.00
308;ALAMIRI Ali;BRN;2.00;;;;;;;;;;;;;2.00
308;CAMMAROTA Alessandro;ITA;;;;;;2.00;;;;;;;;2.00
311;WEBER Sebastian;SUI;;2.00;;0.00;0.00;0.00;;;;;;;;2.00
312;HABRAN Maxime;BEL;;0.00;;2.00;0.00;0.00;0.00;0.00;;;;;;2.00
313;JI Victor Cheng;CAN;;;;2.00;;;0.00;;;;;;;2.00
314;LUND Leonard;SWE;;0.00;;;;2.00;;;;;;;;2.00
315;AVRAMIDIS Theodoros;GRE;;;;;2.00;;;;;;;;;2.00
316;KRAHER Martin;AUT;;0.00;;0.00;2.00;0.00;;;;;0.00;;0.00;2.00
317;SVYSTIL Vitaliy;UKR;;2.00;;;0.00;;0.00;0.00;;;;;;2.00
318;MULLER Luis;AUT;;2.00;;0.00;0.00;;;;;;0.00;;0.00;2.00
319;MASUDA Yohito;JPN;;0.00;;;;;;2.00;;;;;;2.00
320;LOKAJ Vaclav;CZE;;0.00;;2.00;0.00;0.00;;0.00;;;;;;2.00
321;MITKIN Oleksandr;UKR;;;;;2.00;;0.00;0.00;;;;;;2.00
322;DLOUHY Christopher;CAN;;;;2.00;;;0.00;;;;;;;2.00
323;LEWIN Johan;SWE;;0.00;;;;2.00;;;;;;;;2.00
324;PIANFETTI Sacha;FRA;;;;;;;;2.00;;;;;;2.00
325;MECKE Cedric;USA;;0.00;;;2.00;;;;;;;;;2.00
326;ULMANEN Kasper;SWE;;0.00;;;;2.00;;;;;;;;2.00
327;BIRO David;ROU;;;;;;;2.00;;;;;;;2.00
328;LEGUBE Benoit;FRA;;1.00;;0.00;;;1.00;;;;;;;2.00
329;MESZAROS Maximilian;GER;;0.00;;0.00;1.00;1.00;0.00;;;;;;;2.00
330;SEYD Julian Dominic;GER;;0.00;;1.00;;1.00;;;;;;;;2.00
331;ISHII Kazuki;JPN;;1.00;;;;;;1.00;;;;;;2.00
332;MARTEMIANOV Grigoriy;RUS;;1.00;;1.00;;;;;;;;;;2.00
333;GRIGORYAN Arman;ARM;;;;;;;;;;;1.50;;;1.50
334;OROIAN Alex;ROU;;0.00;;;0.00;1.00;0.00;;;;;;;1.00
335;MESSIEN Alexis;FRA;;;;;;1.00;;0.00;;;;;;1.00
336;ONOFRE Rafael;POR;;;;1.00;;;;;;;0.00;;;1.00
337;MACLENNAN Robert;GBR;;0.00;;1.00;;;;;;;;;;1.00
338;ATANASOV Marin;BUL;;;;;;;1.00;;;;;;0.00;1.00
339;HELBIG Niclas;GER;;0.00;;0.00;0.00;1.00;0.00;0.00;;;;;;1.00
340;RODRIGUEZ Jose;VEN;;0.00;;1.00;;0.00;;0.00;;;;;;1.00
341;SALZER Matej;CZE;;;;;;;;1.00;;;;;;1.00
342;SOUTULLO Jordi;SUI;;;;1.00;;0.00;;0.00;;;;;;1.00
343;RYKUNOU Dzmitry;BLR;;1.00;;0.00;;0.00;;;;;;;;1.00
344;VOLPI Federico;ITA;;;;;;1.00;;;;;;;;1.00
345;BELOT Antoine;GBR;;0.00;;1.00;;0.00;0.00;0.00;;;0.00;;0.00;1.00
346;KRASTEV Dimitar;BUL;;;;;;0.00;1.00;;;;;;;1.00
347;LOTTER Hugo;GER;;;;;;;;1.00;;;;;;1.00
348;TERHO Jussi;FIN;;1.00;;0.00;;;0.00;;;;0.00;;0.00;1.00
349;COLLIN Theo;FRA;;0.00;;;1.00;;;;;;;;;1.00
350;GYLLENHOFF Anders;SWE;;;;;;1.00;;;;;;;;1.00
350;MOISEEV Kirill;RUS;;;;;;;1.00;;;;;;;1.00
352;YARINOVSKY Tomer;ISR;;1.00;;;;;;;;;;;0.00;1.00
353;NOGANOWICZ Karol;POL;;1.00;;;;;;;;;;;;1.00
354;STRAUMOY Truls;NOR;;1.00;;;0.00;;0.00;;;;;;;1.00
355;SOBOLEV Aleksandr;RUS;;;;1.00;;;;;;;;;;1.00
356;PAVLIK Matyas;CZE;;;;;;;;1.00;;;;;;1.00
357;DE NO VELEZ Jaime;ESP;;;;;;1.00;0.00;;;;;;;1.00
358;ZAGITOV Rafael;RUS;;1.00;;;;;;;;;;;;1.00
359;HAURI Ian;SUI;;;;1.00;;0.00;;0.00;;;;;;1.00
360;SCHNEIDER Benjamin;GBR;;1.00;;;;;;;;;;;;1.00
360;MILLER Finn;USA;;;;;1.00;;;;;;;;;1.00
360;MARTIN GASCON Anibal;ESP;;;;;;;;1.00;;;;;;1.00
363;GKOGKOS Alexandros;GRE;;;;;1.00;;0.00;;;;;;;1.00
364;GIULIANO Loris;SUI;;;;;0.00;1.00;0.00;0.00;;;;;;1.00
365;CAICEDO Fabian;VEN;;0.00;;1.00;;0.00;;0.00;;;;;0.00;1.00
366;BROCHARD Theo;SUI;;;;;;;;1.00;;;;;;1.00
367;BANSAGI Barnabas;HUN;;;;;;1.00;;;;;;;;1.00
367;SANTIUSTE Alvaro;ESP;;;;;;;1.00;;;;;;;1.00
369;LACH Lukas;AUT;;0.00;;0.00;1.00;0.00;;;;;;;;1.00
370;LE QUANG HUY Phileas;DEN;;0.00;;1.00;0.00;0.00;0.00;0.00;;;;;;1.00
371;MAGNUSSON Jakob;SWE;;1.00;;;;0.00;;;;;;;;1.00
372;SEPP Tony;EST;;0.00;;0.00;;1.00;;;;;;;;1.00
373;CHERVYNSKYI Yaroslav;UKR;;;;;;;1.00;;;;;;;1.00
374;LERZER Till;SUI;;0.00;;;;;0.00;1.00;;;;;;1.00
375;TIHANE Juri;FIN;;1.00;;;;;;;;;;;;1.00
375;WINGERTER Morgan;FRA;;;;;;;1.00;;;;;;;1.00
377;FUHRIMANN Jonathan;SUI;;;;;;;1.00;0.00;;;;;;1.00
378;LAO Mattias;EST;;;;1.00;;0.00;;;;;;;;1.00
379;KARAPIDAKIS Ioannis;GRE;;;;;1.00;;;;;;;;;1.00
380;ZBIERADA Bartlomiej;POL;;0.00;;0.00;0.00;;0.00;1.00;;;;;;1.00
381;HAYES Isaac;AUS;;;;;;1.00;0.00;;;;;;0.00;1.00
382;GOTTWALD Mathias;AUT;;0.00;;0.00;1.00;;;;;;;;;1.00
383;IDDRISU Bashiru;GHA;;;;;;;;;;0.00;;;;0.00
384;PALACIOS Daniel;GUA;;;0.00;;;;;;;;;;;0.00
384;GODSWILL Montchor Vitalis;GHA;;;;;;;;;;0.00;;;;0.00
386;DANIEL Terkutey;GHA;;;;;;;;;;0.00;;;;0.00
386;ESPINOZA SOMOZA Celso Evenir;NCA;;;0.00;;;;;;;;;;;0.00
388;RAGAVOODOO Ronan;MRI;;;;;;;;;;0.00;;;0.00;0.00
389;JANU PRADO Gael;CRC;;;0.00;;;;;;;;;;;0.00
390;ANDRIAMAMONJY Tonny Marco;MAD;;;;;;;;;;0.00;;;0.00;0.00
391;ESCOBAR Yembi;GUA;;;0.00;;;;;;;;;;;0.00
392;ALDANA Jose David;VEN;;;0.00;;;;;;;;;;;0.00
393;JURADO SOSSA Santiago;COL;;;;;;;;;;;;0.00;;0.00
394;MORENO Yelsin;PAN;;;;;;;;;;;;0.00;;0.00
395;SANTIAGO TIRADO Joseph G.;PUR;;;;;;;;;;;;0.00;;0.00
396;SANTIAGO ROSARIO Pablo A.;PUR;;;;;;;;;;;;0.00;;0.00
396;ALISHAW Khalil;DMA;;;;;;;;;;;;0.00;;0.00
398;YANKEY Ethan;DMA;;;;;;;;;;;;0.00;;0.00
399;BAYDAR Onur Baran;TUR;0.00;;;;;;;;;;;;;0.00
400;SHUBHAM Shubham;IND;0.00;;;;;;;;;;;;;0.00
401;MOHAMED Mayed;UAE;0.00;;;;;;;;;;;;;0.00
402;ABDULLAH Khaled;KUW;0.00;;;;;;;;;;;;;0.00
403;CHEONG Jefferson Jia Hui;SGP;;;;0.00;;;;;0.00;;;;0.00;0.00
404;HAMADA Ebrahim;BRN;0.00;;;;;;;;;;;;;0.00
405;AL-ZAIDI Muntadher;IRQ;0.00;;;;;;;;0.00;;;;;0.00
406;PERSSON Casper Nils;DEN;0.00;;;0.00;0.00;;0.00;0.00;;;;;;0.00
407;AL MAAZMI Mohamed;UAE;;;;;;;;;0.00;;;;;0.00
408;ALHASSONI Matar;BRN;0.00;;;;;;;;;;;;;0.00
409;PEREZ Reynaldo Jr.;PHI;;;;;;;;;0.00;;;;;0.00
409;BERNSEN Christoffer Leth;DEN;0.00;;;;;;;;;;;;;0.00
411;ALOMIRI Sultan;KSA;0.00;;;;;;0.00;;;;;;0.00;0.00
412;PUENGKUNTOD Jadsadaporn;THA;;;;;;;;;0.00;;;;;0.00
413;MATAR Ali;BRN;0.00;;;;;;;;;;;;;0.00
413;SHAKYA Kuldeep Kumar;IND;;;;;;;;;0.00;;;;;0.00
415;PANDEY Shankar;IND;;;;;;;;;0.00;;;;;0.00
416;ZAHEDI Sepehr;IRI;;;;;;;;;0.00;;;;;0.00
416;QASIM ALI Mohamed;BRN;0.00;;;;;;;;;;;;;0.00
418;MANZALJI Jawad;SYR;;;;;;;;;0.00;;;;;0.00
419;DAOU Georgio;LBN;;;;;;;;;0.00;;;;;0.00
420;HELWANI Homam;SYR;;;;;;;;;0.00;;;;;0.00
421;BOLANOS Tiago;POR;;;;0.00;;;;0.00;;;0.00;;0.00;0.00
422;GRIGORYAN Vahagn;ARM;;;;;;;;;;;0.00;;;0.00
423;SAY Ali Ege;TUR;;;;0.00;0.00;;0.00;;;;0.00;;;0.00
424;ALIEV Khalid;AZE;;;;;;;;;;;0.00;;0.00;0.00
425;GULIYEV Barat;AZE;;;;;;;;;;;0.00;;0.00;0.00
426;SAFAROV Farrukh;AZE;;;;;;;;;;;0.00;;0.00;0.00
427;RISTIC Ognjen;SRB;;;;;;0.00;0.00;;;;0.00;;0.00;0.00
428;NIKIEL Marcin;POL;;;;;;;0.00;0.00;;;;;;0.00
429;KOLPA Piotr;POL;;;;0.00;;;;0.00;;;;;;0.00
430;KUDRIAVTSEV Georgii;UKR;;0.00;;;;;0.00;0.00;;;;;;0.00
431;ROACH Tarriq Mosiah;JAM;;;;;;;;;;;;;0.00;0.00
432;SHIKIRUN Nikita;RUS;;0.00;;0.00;;;;;;;;;;0.00
433;BELL Jack;GBR;;;;;;0.00;0.00;;;;;;;0.00
434;JOHANIDES Lukas Jakub;SVK;;;;0.00;;;;;;;;;;0.00
435;TELLNES Jesper;NOR;;0.00;;;;;0.00;0.00;;;;;;0.00
436;TIAN John;AUS;;;;;;0.00;0.00;;;;;;;0.00
437;MARKOPOULOS Ioannis;GRE;;;;;0.00;;;;;;;;;0.00
438;BALMORI Diego;ESP;;0.00;;;;0.00;;0.00;;;;;;0.00
439;THEIN-SANDLER Adrien;USA;;;;;;;0.00;;;;;;;0.00
439;KURZ JORDAN Max;URU;;;;;;;;0.00;;;;;;0.00
439;GORNOVSKY David;CAN;;;;;;;;;;;;;0.00;0.00
442;ALARCIA Daniel;ESP;;;;;;0.00;;0.00;;;;;;0.00
443;KE Yulong;CHN;;;;;;;;;;;;;0.00;0.00
443;SHELANSKI Isaac;USA;;0.00;;;;;;;;;;;;0.00
445;CRIBLEZ Lorin;SUI;;0.00;;;0.00;;0.00;0.00;;;;;;0.00
446;RAMUZ Jeremy;SUI;;;;;;;;0.00;;;;;;0.00
447;STOLAR Samuel;SVK;;0.00;;0.00;;0.00;;;;;;;;0.00
448;MORRISON Dylan;GBR;;;;0.00;;0.00;;;;;;;;0.00
449;SOERUM Jens;NOR;;0.00;;;0.00;;0.00;0.00;;;;;;0.00
450;TIRMAN Sebastian;ROU;;;;;;;0.00;;;;;;;0.00
451;SERHOVETS Maksim;EST;;0.00;;;;0.00;;;;;;;;0.00
452;OZDEMIR Bumin Kagan;TUR;;;;0.00;;;;;;;;;;0.00
453;SZURLEJ Bartlomiej;POL;;0.00;;0.00;;;0.00;;;;;;;0.00
454;VIVAR Ernesto;ESP;;;;0.00;;0.00;;;;;;;;0.00
455;BRADFORD Jack;USA;;;;;0.00;;;;;;;;;0.00
456;BENDIKSEN Casper;NOR;;0.00;;;0.00;;;0.00;;;;;;0.00
457;CHAN Xavier Jun Xi;SGP;;;;0.00;;;;;;;;;0.00;0.00
458;XU Qiaofei;CHN;;;;;;;;;;;;;0.00;0.00
459;EDWARDS Owen;GBR;;;;0.00;;0.00;0.00;;;;;;;0.00
460;DJATSUK Filipp;EST;;0.00;;0.00;;0.00;;;;;;;;0.00
461;PAVLOV Kiril;KAZ;;;;;;;0.00;;;;;;;0.00
462;PAPADOPOULOS Alex;GBR;;0.00;;0.00;;0.00;0.00;;;;;;;0.00
463;VINNITCHOUK Ted;CAN;;;;;;;0.00;;;;;;0.00;0.00
464;CSERI Soma;HUN;;;;;0.00;;;;;;;;;0.00
465;PFEIFER Jannik;SUI;;0.00;;;0.00;;;0.00;;;;;;0.00
466;ERNEE Jan;CZE;;;;0.00;;0.00;;0.00;;;;;;0.00
467;MARCHAND Charles-Edouard;SUI;;0.00;;0.00;0.00;0.00;;0.00;;;;;;0.00
468;ALTAWEEL Hussain;KSA;;;;;;;0.00;;;;;;0.00;0.00
469;MONCADA Alejandro;VEN;;0.00;;0.00;;0.00;;0.00;;;;;0.00;0.00
470;ORTA Javier;ESP;;;;;;;0.00;;;;;;;0.00
471;FERNANDEZ JIMENO Emilio;ESP;;;;;0.00;0.00;0.00;;;;;;;0.00
472;ROJAS Rafael Gerardo;MEX;;;;;;;;;;;;;0.00;0.00
473;ZYBACH Lenny;SUI;;;;;;;;0.00;;;;;;0.00
474;GORMAZ Javier Ivan;ESP;;;;;;0.00;0.00;;;;;;;0.00
475;BISSINGER Michael;USA;;;;;0.00;;;;;;;;;0.00
475;BORER Jovan;SUI;;;;;;;;0.00;;;;;;0.00
477;SAMOILOV Dmytro;UKR;;0.00;;;;;0.00;;;;;;;0.00
478;ROUDBAR Samuel;BEL;;0.00;;0.00;;;;0.00;;;;;;0.00
479;GONG Xinmiao;CHN;;;;;;;;;;;;;0.00;0.00
480;AL-MALKI Saoud;QAT;;;;;;;;;;;;;0.00;0.00
480;ATEF Ahmed;EGY;;;;;0.00;;;;;;;;;0.00
482;STORMARK Joergen;NOR;;0.00;;;0.00;;0.00;0.00;;;;;;0.00
483;EJEMYR Christoffer;SWE;;0.00;;;;0.00;;;;;;;;0.00
484;HOIDA Daniil;UKR;;;;;;;;0.00;;;;;;0.00
485;STRNAD Ondrej;CZE;;;;0.00;;0.00;;0.00;;;;;;0.00
486;HERBST Eliot;USA;;0.00;;;;;0.00;;;;;;;0.00
487;BOURGUIGNON Brice;BEL;;;;0.00;;;;;;;;;;0.00
487;SMOAK Omari;USA;;;;;0.00;;;;;;;;;0.00
487;AMADOR Ricardo;MEX;;;;;;;;;;;;;0.00;0.00
490;GUMUS Kaan;TUR;;;;0.00;0.00;;;;;;;;;0.00
491;SZABO Karol;SVK;;;;;;0.00;;;;;;;;0.00
492;PAAVOLAINEN Vaino;FIN;;0.00;;0.00;;;;;;;;;;0.00
493;STIGANT Devlin;GBR;;;;;;;;0.00;;;;;;0.00
494;KIKUCHI Shotaro;JPN;;0.00;;;;;;0.00;;;;;;0.00
495;CAFARO Jack;GBR;;0.00;;;;0.00;0.00;;;;;;;0.00
496;NAVARRO Yago;ESP;;;;0.00;;;;;;;;;;0.00
497;ANTONIOU Nikolas;CYP;;;;;0.00;;;;;;;;;0.00
498;LIWSKI Guido Nicolas;ARG;;;;;;;;0.00;;;;;0.00;0.00
499;PAJU Raul;EST;;;;;;0.00;;;;;;;;0.00
499;KRITIKOS Dimitrios;GRE;;;;;0.00;;;;;;;;;0.00
501;GUBERT Leopoldo;BRA;;;;;;0.00;0.00;;;;;;;0.00
502;GUKOV Alexander;RUS;;0.00;;;;;;;;;;;;0.00
502;ELIZARI Inigo;ESP;;;;0.00;;;;;;;;;;0.00
504;SCHMIDLI Nicky;SUI;;;;0.00;0.00;;0.00;0.00;;;;;;0.00
505;KILJANDER Oskar;FIN;;0.00;;0.00;;;;;;;;;;0.00
506;ELGENDY Ahmed;EGY;;;;;0.00;;;;;;;;;0.00
507;FOUSTANAKIS Stylianos-Rafail;GRE;;;;;0.00;;;;;;;;;0.00
507;ERBETTA Diego;SUI;;;;;;;;0.00;;;;;;0.00
509;WILSON Sean;USA;;;;;0.00;;;;;;;;;0.00
510;FRIIS RUUD Emil;NOR;;0.00;;;0.00;;0.00;0.00;;;;;;0.00
511;RIEBLINGER Manuel;GER;;;;0.00;;0.00;;;;;;;;0.00
512;EEG Svend Markus;NOR;;;;;0.00;;;;;;;;;0.00
512;OSMAN-TOUSON Maruan;HUN;;;;;;;0.00;;;;;;;0.00
514;TSOKAS Asterios;GRE;;;;;0.00;;0.00;;;;;;0.00;0.00
515;SACEDA Alejandro;ESP;;;;;;;;0.00;;;;;;0.00
516;WENZEL Tijan;SLO;;;;;;0.00;;;;;;;;0.00
516;MAKRIS Dimitrios;GRE;;;;;0.00;;;;;;;;;0.00
518;WEISE Max;GER;;;;0.00;0.00;;0.00;;;;;;;0.00
519;PUCHACHER Felix;AUT;;0.00;;0.00;0.00;0.00;;;;;;;;0.00
520;DEGORCE Aurelien;GBR;;;;;;;;0.00;;;;;;0.00
521;DRENCAK Adam;SVK;;0.00;;0.00;;;0.00;0.00;;;;;;0.00
522;WICHT Matteo;SUI;;;;0.00;;;;0.00;;;;;;0.00
523;GEZER Batuhan;TUR;;;;0.00;0.00;;;;;;;;;0.00
524;LUGTENBURG Thomas;NED;;;;;;;0.00;0.00;;;;;0.00;0.00
525;RAMAZZOTTI Francesco;LUX;;;;0.00;;;;;;;;;;0.00
525;RACHWALIK Michal;POL;;0.00;;;;;;;;;;;;0.00
527;IOANNOU Giorgos;CYP;;;;;0.00;;;;;;;;;0.00
527;OPANASENKO Andrii;UKR;;0.00;;;;;;;;;;;;0.00
529;ROUBAILO Niels;NED;;;;0.00;;;;0.00;;;;;;0.00
530;NAWAR Hassan;NED;;;;;;;;0.00;;;;;0.00;0.00
531;SEHIC Boris;SRB;;;;;;;;;;;;;0.00;0.00
531;TASAR Muhammed;TUR;;;;0.00;;;;;;;;;;0.00
533;BECKER Olivier;LUX;;;;0.00;;;;;;;;;;0.00
533;STARC Luka;SLO;;;;;;0.00;;;;;;;;0.00
535;GUZMAN Jose;VEN;;0.00;;0.00;;0.00;;0.00;;;;;0.00;0.00
536;PARASKEVA Alexandros;CYP;;;;;0.00;;;;;;;;0.00;0.00
537;HUNGERBUHLER Alexandre;SUI;;;;;;;;0.00;;;;;;0.00
538;AL-BADER Yousef;QAT;;;;;;;;;;;;;0.00;0.00
538;MENDES Tarcisio;BRA;;;;;;0.00;;;;;;;;0.00
540;DIMITROPOULOS Lampros;GRE;;;;;0.00;;;;;;;;;0.00
541;KREMSLEITHNER Michael;AUT;;;;0.00;;;;;;;;;;0.00
541;TIKTOPOULOS Alexandros Constantinos;GRE;;;;;0.00;;;;;;;;;0.00
541;NIKOLOPOULOS Dimitrios;GRE;;;;;0.00;;;;;;;;;0.00
541;ALI MOUSSA Jibril;ALG;;;;;;;;;;;;;0.00;0.00
545;HESSLING OSCARSON Simon;SWE;;;;;;0.00;;;;;;;;0.00
545;JOHANNS Loic;LUX;;;;0.00;;;;;;;;;;0.00
547;RENIER Kevin;BEL;;0.00;;0.00;;;;;;;;;;0.00
548;ALAA Amr;EGY;;;;;0.00;;;;;;;;;0.00
549;SALLAM Omar;EGY;;;;;0.00;;0.00;;;;;;;0.00
550;COHEN Bennett;USA;;0.00;;;;;;;;;;;;0.00
550;CAYCEDO DIAZ Carlos Elias Alfredo;COL;;;;;;;;;;;;;0.00;0.00
552;ZENS Philipp;LUX;;;;0.00;;;;0.00;;;;;;0.00
553;DUCHESNAY Fabien;FRA;;;;;;0.00;;;;;;;;0.00
554;MARKOTA Vedran;CRO;;;;;;0.00;;;;;;;;0.00
554;ROJAS Gabriel;CHI;;;;;;;;0.00;;;;;;0.00
556;CALKAYIS Umut;TUR;;;;0.00;;;;;;;;;;0.00
556;TASSIS Georgios Panagiotis;GRE;;;;;0.00;;;;;;;;;0.00
558;POERS Gregor;SLO;;;;;;0.00;;;;;;;;0.00
559;FROESCHL Lucas;GER;;;;0.00;;0.00;;;;;;;;0.00
560;BOUGATSOS Dionysios;GRE;;;;;0.00;;;;;;;;;0.00
560;MAKEVIC Ivan;SRB;;;;;;;0.00;;;;;;;0.00
562;NAKAMURA Tetsuya;JPN;;;;0.00;;;;;;;;;;0.00
563;TSAKIRAKIS Theodoros;GRE;;;;;0.00;;;;;;;;;0.00
563;ZHANG Daniel;CAN;;;;0.00;;;;;;;;;;0.00
565;FERRARIN Franky;LUX;;;;0.00;;;;;;;;;;0.00
565;GRIGORIADIS Pavlos;GRE;;;;;0.00;;;;;;;;;0.00
565;SANTIBANEZ Felipe;CHI;;;;;;;;0.00;;;;;;0.00
568;VASARAUDZIS Egils;LAT;;0.00;;;;;;;;;;;;0.00
569;PASSAM Filippos;GRE;;;;;0.00;;;;;;;;;0.00
570;BAKHVALAU Ivan;BLR;;0.00;;;;0.00;;;;;;;;0.00
571;HEMELAERS Robbe;BEL;;;;0.00;;;;0.00;;;;;;0.00
572;DYMBE Simen;NOR;;0.00;;;;;0.00;0.00;;;;;;0.00
573;ALDHAMEN Ahmed;KSA;;;;;;;0.00;;;;;;;0.00
573;ALFADHLI Ali;KUW;;;;0.00;;;;;;;;;;0.00
575;ANARKULOV Ilkhamzhan;KAZ;;;;;;;0.00;;;;;;0.00;0.00
576;DAHLE Bo;NOR;;0.00;;;;;;;;;;;;0.00
576;COREJ Samuel;SVK;;;;;;0.00;;;;;;;;0.00
576;ZACHARIOUDAKIS Nikolaos;GRE;;;;;0.00;;;;;;;;;0.00
579;FERMAUD Gabriel;FRA;;0.00;;;;;;;;;;;;0.00
579;SHEUM Bron;SGP;;;;0.00;;;;;;;;;;0.00
579;TALIOTIS Alexandros;CYP;;;;;0.00;;;;;;;;;0.00
582;GOORIS Andreo;BEL;;;;0.00;;;;;;;;;;0.00
582;FERNANDES Miguel;POR;;;;0.00;;;;;;;;;;0.00
582;SIDERIS Stavros;GRE;;;;;0.00;;;;;;;;;0.00
582;FRAUCHIGER Alastair;SUI;;;;;;;;0.00;;;;;;0.00
586;GALABOV Yordan;BUL;;;;;;0.00;0.00;;;;;;;0.00
587;SKOGSTER Moritz;FIN;;0.00;;;;;;;;;;;;0.00
587;CORREIA Joao;POR;;;;0.00;;;;;;;;;;0.00
587;STEHLIK Jan;CZE;;;;;;0.00;;;;;;;;0.00
590;ALSOWAIDI Abdulrahman;QAT;;;;;;;;;;;;;0.00;0.00
590;FOGEMAN Martin;SWE;;;;;;0.00;;;;;;;;0.00
590;TARTA Vinicius;BRA;;;;;;;;0.00;;;;;;0.00
593;ZLENKO Daniels;LAT;;0.00;;;;;;;;;;;0.00;0.00
594;RIBEIRO Gustavo;POR;;;;;;;0.00;;;;;;;0.00
595;SAMARDZIC Dragoljub;SRB;;;;;;0.00;0.00;;;;;;;0.00
596;TASKIRAN Can;TUR;;;;0.00;;;;;;;;;;0.00
597;BAUTISTA Jian Miguel;PHI;;;;;;;;;;;;;0.00;0.00
598;FRAZAO Filipe;POR;;;;;;;;;;;;;0.00;0.00
599;LI Jason Man Kit;CAN;;;;0.00;;;;;;;;;;0.00
599;PALUSAAR Nikita;EST;;0.00;;;;;;;;;;;;0.00
601;QUINSEY Zachary;CAN;;;;0.00;;;;;;;;;;0.00
601;STEBLAJ Dominik;SLO;;;;;;0.00;;;;;;;;0.00
603;VIDALI Aurel;LUX;;;;0.00;;;;;;;;;;0.00
603;RECLO Michal;SVK;;;;;;0.00;;;;;;;;0.00
605;UGAN Burak Can;TUR;;;;0.00;;;;;;;;;;0.00
606;TSOLOV Boris;BUL;;;;;;0.00;0.00;;;;;;;0.00
607;KIIROJA Jaron;EST;;0.00;;;;;;;;;;;;0.00
608;ESAHERI Ahmed;LBA;;;;;;;;;;;;;0.00;0.00
608;KLEINER Lukas;GER;;0.00;;;;;;;;;;;;0.00
608;GOLOB Lan;SLO;;;;;;;;;;;;;0.00;0.00
611;RAPPE Bastien;BEL;;0.00;;0.00;;;;;;;;;;0.00
612;REUTER Julien;LUX;;;;0.00;;;;;;;;;;0.00
613;MARKEVICIUS Povilas;LTU;;0.00;;;;;;;;;;;;0.00
613;CACACE Hugo;PAR;;;;;;;;;;;;;0.00;0.00
615;BELSELAH Omar;UAE;;;;;;;;;;;;;0.00;0.00
616;EVRARD Francois;NAM;;;;;;;;;;;;;0.00;0.00
617;SAWAMURA Takuya;JPN;;0.00;;;;;;;;;;;;0.00
617;MLAKAR Luka;SLO;;;;;;;;;;;;;0.00;0.00
617;KALYANKAR Akash Bharat;IND;;;;;;;;;;;;;0.00;0.00
620;GAUTHIER Guilhem;SUI;;0.00;;;;;;;;;;;;0.00
621;SPANO Gabriel;AUS;;0.00;;;;;;;;;;;;0.00
621;AL-DAHNAME Mohammed;QAT;;;;;;;;;;;;;0.00;0.00
621;ALKHALDI Nawaf;KSA;;;;;;;0.00;;;;;;;0.00
624;RODRIGUEZ ULLOA Juan Pablo;COL;;;;;;;;;;;;;0.00;0.00
625;ALEKSANDROVSKI Matej;MKD;;;;;;;;;;;;;0.00;0.00
626;KOZHIN Nazar;UKR;;0.00;;;;;;;;;;;;0.00
627;YUAN Wesley;USA;;0.00;;;;;;;;;;;;0.00
628;VAYSBERG Nathan;USA;;;;;;;0.00;;;;;;;0.00
629;JUTILA Julius;FIN;;0.00;;;;;;;;;;;;0.00
629;ATHANASIOU Gavriel;CYP;;;;;;;0.00;;;;;;;0.00
631;SKOGSTER Amos;FIN;;0.00;;;;;;;;;;;;0.00
632;ALSAEED Abdulaziz;KSA;;;;;;;0.00;;;;;;;0.00
633;NIKOLIC Mateja;SRB;;;;;;;0.00;;;;;;;0.00
634;ANGELOV Yann;BUL;;;;;;;0.00;;;;;;;0.00
635;KOTELES Balint;SVK;;;;;;;0.00;;;;;;;0.00
636;GABERA Erik;SVK;;;;;;;0.00;;;;;;;0.00
637;OLIVEIRA Goncalo;POR;;;;;;;0.00;;;;;;;0.00
