RANK;ATHLETE;NATION;San Salvador A;Riga A;Luxembourg A;Heraklion A;Tokyo A;Manama A;Belgrade A;Bâle A;Alger CHZ;Foggia CHZ;Bogota CHZ;Amman CHZ;TORUN CHM;TOTAL
63;SVYSTIL Vitaliy;UKR;;2.00;;;;;1.00;;;12.00;;;10.00;25.00
64;OROIAN Alex;ROU;;;2.00;;;;2.00;;;0.00;;;20.00;24.00
65;CHINGAKHAM Jetlee Singh;IND;;;;;;;;;;;;21.00;2.50;23.50
66;LUBIENIECKI Wojciech;POL;;2.00;1.00;4.00;;;;4.00;;6.00;;;5.00;22.00
67;BONFERRONI Gabriel;SUI;;8.00;4.00;2.00;;;0.25;2.00;;3.00;;;2.50;21.75
68;SANER Harry;RSA;;;;;;;;;21.00;;;;0.63;21.63
69;CHALOEMCHANEN Chinnaphat;THA;;;;;;;;;;;;21.00;0.63;21.63
70;HADDAD Justin;USA;;;0.25;;;;0.25;;;;21.00;;;21.50
71;KARYCHENKO Maksym;UKR;;4.00;;8.00;;;1.00;;;6.00;;;2.50;21.50
72;ABDELBAKY. A Amr;EGY;;;;;;;;;21.00;;;;0.00;21.00
73;REJEB Mohamed Ali;TUN;;;;;;;;;21.00;;;;;21.00
74;REZAEI Mohammad;IRI;;;;;;;;;;;;21.00;;21.00
75;ABUJTELA Abdussalam;LBA;;;;;;;;;21.00;;;;;21.00
76;CHOTIN Titouan;FRA;;8.00;2.00;2.00;;;4.00;2.00;;3.00;;;;21.00
77;GUDERA Jonas;GER;;0.50;2.00;0.50;;;8.00;2.00;;3.00;;;5.00;21.00
78;VILLACORTA PORTILLO Saul Moris;ESA;20.00;;;;;;;;;;0.00;;;20.00
79;OJEDA BUITRAGO Daniel;CRC;14.00;;;;;;;;;;6.00;;;20.00
80;PIZENBERG Jacob;ISR;;2.00;;0.50;;;2.00;4.00;;6.00;;;5.00;19.50
81;MAGLIANO Matteo;ITA;;;14.00;4.00;;;0.25;1.00;;;;;;19.25
82;MANCEWICZ Bartlomiej;SWE;;2.00;8.00;;;;2.00;;;6.00;;;1.25;19.25
83;HABRAN Maxime;BEL;14.00;0.00;;;;;0.50;2.00;;;;;2.50;19.00
84;BONAMIGO Gabriel;BRA;;;4.00;0.50;;;;;;;12.00;;2.50;19.00
85;CINI Alessandro;ITA;;;;14.00;;;4.00;0.50;;;;;;18.50
86;ODEH Iyad;JOR;;;;1.00;;14.00;;;;;;3.00;;18.00
87;KANETAKA Taijoh;JPN;;;;0.50;4.00;;;;;;;12.00;1.25;17.75
88;BUSTOS Joaquin;CHI;;;;;;;0.00;4.00;;;12.00;;1.25;17.25
89;KIIROJA Jaron;EST;;;;;;14.00;;;;3.00;;;;17.00
90;DERKSEN Ruben;NED;;;1.00;;;;;8.00;;3.00;;;5.00;17.00
91;BIRO David;ROU;;8.00;1.00;2.00;;;0.50;;;3.00;;;2.50;17.00
92;CHEONG Jefferson Jia Hui;SGP;;;;;8.00;;;;;;;6.00;2.50;16.50
93;GONELL Gerard;ESP;;0.25;;8.00;;;;1.00;;6.00;;;1.25;16.50
94;BOBROV Ilian;EST;;4.00;1.00;2.00;;;4.00;;;3.00;;;2.50;16.50
95;ALDAWOOD Jawad;KSA;;;;;;8.00;;;;;;3.00;5.00;16.00
96;POSTMA Randy;NED;;;1.00;;;;;2.00;;3.00;;;10.00;16.00
97;FAFARD Fynn;CAN;;;2.00;;;;0.50;;;;12.00;;1.25;15.75
98;FATEYEV Yegor;KAZ;;0.00;;;;14.00;1.00;0.50;;;;;;15.50
99;GUBERT Leopoldo;BRA;;;2.00;0.00;;;;;;;12.00;;1.25;15.25
100;MAHAMUD Gonzalo;ESP;;2.00;;8.00;;;1.00;1.00;;3.00;;;0.00;15.00
101;EKENLER Hilmi Taha;TUR;;;;0.50;;;0.00;1.00;;12.00;;;1.25;14.75
102;ASAMI Seiya;JPN;;0.50;;;14.00;;;;;;;;;14.50
103;MATSUMOTO Ryu;JPN;;0.50;;;14.00;;;;;;;;;14.50
104;ANZAI Kazuhide;JPN;;;;;14.00;;;;;;;;;14.00
105;TAY Jovan;SGP;;;0.00;;14.00;;;;;;;;;14.00
106;ALAJMI Badr Mohammad;KUW;;;;;;14.00;;;;;;;;14.00
106;CAP Hector;GUA;14.00;;;;;;;;;;;;;14.00
108;AL-ZAIDI Muntadher;IRQ;;;;;;8.00;;;;;;6.00;;14.00
109;OYA Kensuke;JPN;;;4.00;2.00;8.00;;;;;;;;;14.00
110;ANDREWS Benjamin;GBR;;0.50;2.00;8.00;;;0.50;0.50;;0.00;;;2.50;14.00
111;BALLIVIAN Jose Fernando;BOL;8.00;;;;;;0.00;0.00;;;6.00;;0.00;14.00
112;CACACE Hugo;PAR;8.00;;;;;;;;;;6.00;;;14.00
113;CHENG Hao-Wen;TPE;;;;;8.00;;;;;;;6.00;;14.00
114;BANYAI Botond;HUN;;4.00;;2.00;;;4.00;4.00;;;;;;14.00
115;GEITUNG Tomas;NOR;;1.00;;2.00;;;4.00;2.00;;0.00;;;5.00;14.00
116;JEAN JOSEPH Kendrick;FRA;;1.00;0.50;;;;4.00;8.00;;;;;;13.50
117;KANG Hongcheol;KOR;;0.50;;;;;;;;;;3.00;10.00;13.50
118;AVRAMIDIS Theodoros;GRE;;;;0.00;;;2.00;;;1.50;;;10.00;13.50
119;KAM Chun Ho;HKG;;;;;;;;;;;;12.00;1.25;13.25
120;KIM Daejin;KOR;;;;;;;;;;;;12.00;1.25;13.25
121;TSOKAS Asterios;GRE;;;;2.00;;;0.25;;;6.00;;;5.00;13.25
122;BAYRAM Issa;FRA;;2.00;4.00;1.00;;;2.00;4.00;;;;;;13.00
123;JIANG Keli;CHN;;;;;;;;;;;;3.00;10.00;13.00
124;SPIRIN Mikhail;RUS;;0.50;0.50;2.00;;;4.00;1.00;;;;;5.00;13.00
125;POTAPOV Maksim;RUS;;2.00;1.00;8.00;;;1.00;0.50;;;;;;12.50
126;MEJRI Rayen L.;TUN;;;;;;;;;12.00;;;;;12.00
127;BOUROUAG Kais;ALG;;;;;;;;;12.00;;;;;12.00
128;ALSIHEERI Ahmed;LBA;;;;;;;;;12.00;;;;;12.00
128;JENDOUBI Fedi;TUN;;;;;;;;;12.00;;;;;12.00
128;BARZEGAR Mohammad;IRI;;;;;;;;;;;;12.00;;12.00
