RANK;ATHLETE;NATION;Bratislava A; Helsinki A;Teheran A;Lignano Sabbiadoro A;Bâle A;Goteborg A;Budapest A;Anadia A;Pretoria CHZ;Lobnya CHZ;Isla Margarita CHZ;Mer Morte CHM;TOTAL
64;MELARAGNO Guilherme;BRA;;;;;;;;;;;21.00;0.00;21.00
65;DREYER Willem Akkerhuys;RSA;;;;;;;;;21.00;;;0.00;21.00
66;CEDENO Osvier;VEN;;;;;;;;;;;21.00;0.00;21.00
67;FAYEZ Sherif;EGY;;;;;;;;;21.00;;;;21.00
68;TRUBACHEV Alexey;KAZ;;;;;;20.00;0.00;;;;;0.00;20.00
69;AL SHAMARI Mohammed;QAT;;;20.00;;;;;;;;;;20.00
69;MORADI Behdad;IRI;;;20.00;;;;;;;;;;20.00
71;KUF Jan;CZE;;;;2.00;4.00;;0.00;14.00;;;;;20.00
72;KELLEY Edward;USA;;8.00;;;2.00;0.00;;;;;;10.00;20.00
73;SONG Taeyang;KOR;;;;;;;;;;;;20.00;20.00
74;KARADENIZ Okan;TUR;;;8.00;8.00;;;0.00;;;3.00;;0.00;19.00
75;WRONA Kamil;POL;4.00;8.00;;;2.00;2.00;0.00;;;3.00;;;19.00
76;SWOROWSKI Wojciech;POL;0.00;2.00;;;4.00;4.00;4.00;;;0.00;;5.00;19.00
77;LEISER Rico;GER;0.00;;;14.00;4.00;0.00;;;;;;;18.00
78;SENDUT Emir;TUR;;;8.00;0.00;;;2.00;;;3.00;;5.00;18.00
79;HERBERN Stian;NOR;0.00;0.00;;;;8.00;2.00;;;3.00;;5.00;18.00
80;SOKOLOVSKI Vitali;BLR;2.00;4.00;;;0.00;4.00;2.00;;;6.00;;0.00;18.00
81;HARUTYUNYAN Spartak;ARM;;;14.00;;;;;;;3.00;;;17.00
82;YERGLER Jonathan;USA;;8.00;;;8.00;;;;;;;;16.00
83;CARNEAU Theo;FRA;0.00;;;2.00;8.00;2.00;4.00;;;;;;16.00
84;ZERBIB Ken-Elie;FRA;;;;;8.00;0.00;8.00;;;;;;16.00
85;KUHN Georg;SUI;2.00;;;0.00;8.00;0.00;2.00;4.00;;;;0.00;16.00
86;LIU Chzhan Shan;RUS;2.00;2.00;;4.00;8.00;;8.00;;;;;;24.00
87;BERNAT Barna;HUN;2.00;;;0.00;;;8.00;;;6.00;;;16.00
88;FEROT Francois Xavier;BEL;2.00;0.00;;4.00;0.00;0.00;0.00;2.00;;3.00;;5.00;16.00
89;CIOVICA Lucian;ROU;2.00;;;;;;0.00;;;3.00;;10.00;15.00
90;AZADIAN Saman;IRI;;;14.00;;;;;;;;;;14.00
91;KANANI Amir Reza;IRI;;;14.00;;;;;;;;;;14.00
92;PIREK Valentin;SUI;0.00;;;0.00;0.00;4.00;2.00;8.00;;;;;14.00
93;BOURGEOIS Louis;SUI;2.00;;;0.00;2.00;2.00;0.00;8.00;;;;;14.00
94;KEREKES Erwin;GER;0.00;;;2.00;0.00;0.00;;;;12.00;;;14.00
95;RAYNIS Michael;USA;;4.00;;;2.00;2.00;;;;;;5.00;13.00
96;PEREIRA Yulen;ESP;;;;2.00;0.00;2.00;;4.00;;;;5.00;13.00
97;GUEYE Sire;SEN;;;;;;;;;12.00;;;;12.00
97;CAMPOS William;VEN;;;;;;;;;;;12.00;;12.00
99;CORBION Meeidhy;FRA;8.00;;;2.00;2.00;0.00;0.00;;;;;;12.00
100;DOWNES John;AUS;;;;2.00;0.00;2.00;8.00;;;;;0.00;12.00
101;SOLOMKO Fedor;RUS;8.00;4.00;;;0.00;;;;;;;;12.00
102;WEITBRECHT Moritz;GER;2.00;;;0.00;2.00;8.00;;;;;;;12.00
103;KALININ Alexey;RUS;0.00;4.00;;2.00;2.00;;4.00;;;;;;12.00
104;RUBES Martin;CZE;2.00;;;0.00;2.00;2.00;;;;6.00;;0.00;12.00
105;KURBANOV Ruslan;KAZ;;;;;;4.00;2.00;;;;;5.00;11.00
106;YARINOVSKY Roman;ISR;;2.00;;0.00;;2.00;;4.00;;3.00;;0.00;11.00
107;LOCCI Lorenzo;ITA;;;;2.00;;8.00;0.00;;;;;;10.00
108;MUNARI Giacomo;ITA;;2.00;;;;;;8.00;;;;;10.00
109;TYMO Evgen;UKR;0.00;0.00;;2.00;;0.00;2.00;;;6.00;;;10.00
110;ELKORD Houssam;MAR;0.00;;;0.00;4.00;4.00;2.00;;;;;;10.00
111;BOYADZHIEV Kristian;BUL;;;;;;;;;;0.00;;10.00;10.00
112;SIEBER Armand;SUI;0.00;;;2.00;2.00;4.00;0.00;2.00;;;;;10.00
113;ROD Max;POR;;;;;0.00;0.00;0.00;4.00;;6.00;;0.00;10.00
114;LOPATENKO Andrii;UKR;4.00;2.00;;0.00;;0.00;4.00;;;;;;10.00
115;LAVOIE Christophe;CAN;;;;0.00;;;;;;;;10.00;10.00
116;BONNAIRE Jonathan;FRA;2.00;;;2.00;2.00;2.00;2.00;;;;;;10.00
117;SCHMIDT Richard;GER;0.00;;;4.00;0.00;2.00;;;;3.00;;0.00;9.00
118;WRIGHT John;CAN;;;;4.00;;;;;;;;5.00;9.00
119;ZAFIROV Ivan;BUL;4.00;;;0.00;;;0.00;;;;;5.00;9.00
120;LIU Chzhan Shan;RUS;2.00;2.00;;4.00;8.00;;8.00;;;;;;24.00
120;KAMJO Mirsalar;IRI;;;8.00;;;;;;;;;;8.00
122;KAZEMZADEH Davoud;IRI;;;8.00;;;;;;;;;;8.00
