RANK;ATHLETE;NATION;Luxembourg A;Bratislava A;Espoo Helsinki A;Teheran A;Lignano Sabbiadoro A;Bâle A;Goteborg A;Budapest A;Alger CHZ;Porec CHZ;Estado de Vargas CHZ;Moscow CHM;TOTAL
62;GOLOBIC Jan;SLO;;0.00;;;0.00;;;0.00;;12.00;;10.00;22.00
63;HERNANDEZ Eduar;VEN;;;;;;;;;;;21.00;;21.00
63;FITAS Anouar;ALG;;;;;;;;;21.00;;;;21.00
65;MACEDO Lucas;BRA;;;;;;;;0.00;;;21.00;;21.00
66;BAOUCHE Mehdi;ALG;;;;;;;;;21.00;;;;21.00
67;LANNO Georg-Marten;EST;;0.00;0.00;;;;0.00;;;21.00;;0.00;21.00
68;SHERIF Adham;EGY;;;;;;;;;21.00;;;;21.00
69;SAGNAN Bourama Keba;SEN;;;;;;;;;21.00;;;0.00;21.00
70;ROA Hernando;COL;;;;;;;;;;;21.00;;21.00
71;CARNEAU Theo;FRA;;8.00;;;0.00;;0.00;2.00;;6.00;;5.00;21.00
72;SOLOMKO Fedor;RUS;;0.00;20.00;;;;;;;;;;20.00
73;CITRO Fabrizio;ITA;;;2.00;;0.00;;4.00;14.00;;;;;20.00
74;LOCCI Lorenzo;ITA;;;;;14.00;4.00;0.00;2.00;;;;;20.00
75;BONTES Tom;NED;;;;;;;;;;;;20.00;20.00
76;KARADENIZ Okan;TUR;;;;8.00;2.00;2.00;0.00;2.00;;;;5.00;19.00
77;KUHN Georg;SUI;4.00;0.00;0.00;;2.00;8.00;4.00;;;;;;18.00
78;KISS Gergo;HUN;;0.00;;;4.00;;;2.00;;6.00;;5.00;17.00
79;LIU Chzhan Shan;RUS;;;14.00;;2.00;;;;;;;;16.00
80;BOGOYAVLENSKIY Bogdan;RUS;;4.00;4.00;;4.00;4.00;;0.00;;;;;16.00
81;FREWIN James;GBR;;0.00;;;0.00;2.00;4.00;;;;;10.00;16.00
82;BOLBOCEANU Tatian;ROU;;0.00;;;;;;0.00;;6.00;;10.00;16.00
83;GUBIN Nikita;RUS;;0.00;4.00;;4.00;4.00;;4.00;;;;;16.00
84;ZHAKUPOV Kirill;KAZ;;;;;;;2.00;4.00;;;;10.00;16.00
85;DERYABIN Ivan;KAZ;;;;;;;4.00;2.00;;;;10.00;16.00
86;NOVOTNY Ondrej;CZE;2.00;0.00;0.00;;;2.00;0.00;2.00;;0.00;;10.00;16.00
87;ADONAI Christopher;FRA;;;;;4.00;;0.00;8.00;;3.00;;;15.00
88;MELLANEN Rasmus;FIN;2.00;2.00;4.00;;0.00;2.00;0.00;;;0.00;;5.00;15.00
89;ROSLANDER Kasper;FIN;;;0.00;;;;4.00;;;6.00;;5.00;15.00
90;JAFARI Hossein;IRI;;;;14.00;;;;;;;;;14.00
91;ALIYEV Kanan;AZE;;;;14.00;;;;;;;;0.00;14.00
92;ANIL Murtaza Berkan;TUR;;0.00;;14.00;0.00;0.00;;;;;;;14.00
93;MORADI Behdad;IRI;;;;14.00;;;;;;;;;14.00
94;SMYRNOVSKYY Serhiy;UKR;4.00;8.00;;;2.00;0.00;0.00;0.00;;;;;14.00
95;BALDACCI Luca;ITA;;0.00;8.00;;0.00;;2.00;4.00;;;;;14.00
96;PINTO Santiago;COL;;0.00;0.00;;0.00;0.00;2.00;;;;12.00;0.00;14.00
97;WEITBRECHT Moritz;GER;8.00;2.00;;;0.00;2.00;2.00;0.00;;;;;14.00
98;ANTKIEWICZ Mateusz;POL;;0.00;8.00;;;;0.00;0.00;;6.00;;0.00;14.00
99;SCARSI Simone;ITA;8.00;;4.00;;2.00;;;0.00;;;;;14.00
100;KREILEIN Robert;GER;4.00;4.00;;;4.00;0.00;2.00;0.00;;;;;14.00
101;KHALAFI Amir;IRI;;;;8.00;;;;;;;;5.00;13.00
102;WENGLARCZYK Jan;POL;;2.00;2.00;;;;4.00;2.00;;3.00;;;13.00
103;DOLAR Robin;SLO;0.00;0.00;;;0.00;0.00;;0.00;;3.00;;10.00;13.00
104;ARROYO Ellison;PUR;;;;;;;;;;;12.00;;12.00
105;ASUAJE POLANCO Alexander;VEN;;;;;;;0.00;0.00;;;12.00;;12.00
106;RODRIGUES Luiz;BRA;;;;;;;;0.00;;;12.00;;12.00
107;EFROSININ Alexei;ITA;;;;;4.00;8.00;;;;;;;12.00
108;JIMENEZ ORTIZ Aaron Jose;VEN;;;;;;;;;;;12.00;;12.00
109;RIVERA RIVERA Christian J.;PUR;;;;;;;;;;;12.00;;12.00
110;MASSOT Raphael;FRA;;;;;0.00;;4.00;8.00;;;;;12.00
111;RODRIGUEZ Luis Rafael;DOM;;;;;;;;;;;12.00;;12.00
112;SANABRIA SANABRIA Daniel;CRC;;;;;;;;;;;12.00;0.00;12.00
113;WEIDLICH Reinhard;GER;4.00;0.00;;;0.00;4.00;0.00;4.00;;;;;12.00
114;GYORFFY Kristof;HUN;;2.00;;;2.00;;;4.00;;3.00;;;11.00
115;LYSSOV Alexandre;CAN;;;2.00;;4.00;;;;;;;5.00;11.00
116;LAMPERTZ Guillaume;BEL;2.00;0.00;2.00;;0.00;2.00;2.00;;;3.00;;0.00;11.00
117;ARNANZ Adrian;ESP;2.00;;;;2.00;0.00;0.00;2.00;;0.00;;5.00;11.00
118;MAUNZ Florian;GER;8.00;0.00;;;0.00;2.00;0.00;0.00;;;;;10.00
119;HARANDZHA Mykhaylo;UKR;;;;;8.00;;0.00;2.00;;;;;10.00
120;CHO TAEUN Sandor;HUN;;4.00;;;2.00;;;4.00;;;;;10.00
121;FRAS Felix;POL;;0.00;2.00;;;;0.00;2.00;;6.00;;;10.00
122;JUNG Byeungchan;KOR;;;;;;;;;;;;10.00;10.00
123;WAN Justin;USA;;4.00;2.00;;;4.00;0.00;;;;;;10.00
124;KUCHALSKI Tim;GER;4.00;0.00;;;0.00;4.00;0.00;2.00;;;;;10.00
125;HARTMANN Florian;AUT;4.00;0.00;2.00;;0.00;0.00;0.00;;;3.00;;0.00;9.00
126;TYMO Evgen;UKR;;0.00;0.00;;2.00;;0.00;4.00;;3.00;;;9.00
127;KRUK Tomasz;POL;;4.00;2.00;;;;0.00;0.00;;3.00;;;9.00
128;HAY Christopher;GBR;;4.00;;;0.00;;2.00;;;3.00;;;9.00
129;AMANN Spencer;USA;;0.00;;;;8.00;0.00;;;;;;8.00
130;CORBION Meeidhy;FRA;;0.00;;;8.00;;0.00;0.00;;;;;8.00
131;FAAL Omid;IRI;;;;8.00;;;;;;;;;8.00
132;CHUBENKO Mikhail;RUS;;8.00;;;0.00;;;;;;;;8.00
133;JOKINEN Simon;SWE;;;;;;;8.00;;;0.00;;;8.00
134;JAUERNIK Christian;DEN;;0.00;;8.00;;;0.00;;;0.00;;0.00;8.00
135;ARAZYAN Karen;ARM;;;;8.00;;;;;;;;0.00;8.00
136;OLIVEIRA Miguel;POR;8.00;0.00;;;;;;;;;;;8.00
137;BRUNOLD Bruce;SUI;0.00;0.00;2.00;;0.00;4.00;2.00;0.00;;;;;8.00
138;ELDEIB Alexander;USA;;0.00;2.00;;;2.00;4.00;;;;;0.00;8.00
139;SAINTE ROSE Thomas;FRA;;2.00;;;2.00;;4.00;0.00;;;;;8.00
140;TALLAR Akos;HUN;;4.00;;;2.00;;;2.00;;;;;8.00
141;BOGARD Matt;USA;;;4.00;;;;4.00;;;;;;8.00
142;SMOLKA Mikolaj;POL;;0.00;4.00;;;;2.00;2.00;;;;;8.00
143;OBERSON Philippe;SUI;4.00;2.00;0.00;;0.00;2.00;0.00;;;;;;8.00
144;STYN Robert;GER;;2.00;;;2.00;2.00;2.00;0.00;;;;;8.00
145;DRIZIN Ariel;ISR;;;0.00;;0.00;;0.00;;;3.00;;5.00;8.00
146;VUJTECH Jakub;CZE;4.00;0.00;0.00;;;0.00;0.00;0.00;;3.00;;;7.00
147;GEORGES Guillaume;BEL;2.00;0.00;;;;2.00;0.00;;;3.00;;;7.00
148;HUTCHINSON Kerr;CAN;;;2.00;;;;;;;;;5.00;7.00
