RANK;ATHLETE;NATION;Luxembourg A;Bratislava A;Espoo Helsinki A;Teheran A;Lignano Sabbiadoro A;Bâle A;Goteborg A;Budapest A;Alger CHZ;Porec CHZ;Estado de Vargas CHZ;Moscow CHM;TOTAL
309;MANZINI Thulani;RSA;;;;;;;;;;;;0.00;0.00
311;GUJINOVIC Luka;CRO;;0.00;;;0.00;;;0.00;;0.00;;0.00;0.00
312;ADAIKIN Dmitriy;KAZ;;;;;;;0.00;0.00;;;;;0.00
313;GIANNOTTE Flavio;LUX;0.00;;;;;0.00;;;;;;;0.00
314;SCHIAVINA Marco;ITA;;0.00;;;0.00;;0.00;;;;;;0.00
315;LUCANI Quentin;FRA;;0.00;;;0.00;;0.00;;;;;;0.00
316;SIMPSON James;IRL;0.00;0.00;;;;;;;;;;;0.00
317;LOPEZ POURTIER Nelson;FRA;;;;;;;;0.00;;;;;0.00
318;SIKLOSI Gergely;HUN;;0.00;;;0.00;;;0.00;;;;;0.00
319;KIENTZLE Jens;GER;;;;;0.00;0.00;0.00;;;;;;0.00
320;TOOTHAKER Tycho;USA;;;0.00;;;;;;;;;;0.00
321;MICHALAK Marcin;POL;;0.00;0.00;;;;;;;;;;0.00
322;BUDEK Szczepan;POL;;0.00;0.00;;;;;;;;;;0.00
323;PONNET Robin;BEL;0.00;;;;;;;;;;;;0.00
324;JONES Simon;USA;;0.00;0.00;;;;;;;;;;0.00
325;GLUHIC Gal;SLO;0.00;0.00;;;0.00;0.00;;0.00;;;;;0.00
326;VERWOERD Jasper;NED;0.00;;;;;;;;;;;;0.00
326;HOGUET Lucas;FRA;;0.00;;;;;;;;;;;0.00
328;EMMANOUIL Georgios;GRE;;;;;;;;;;0.00;;;0.00
328;DIXON Andrew Robert;GBR;;0.00;;;;;;;;;;;0.00
330;GRASBECK Gunnar;FIN;0.00;0.00;0.00;;;0.00;0.00;;;;;;0.00
331;KOLEHMAINEN Hannes;FIN;0.00;;0.00;;;;0.00;;;;;;0.00
332;ZAFIROV Ivan;BUL;;0.00;;;0.00;;;;;;;0.00;0.00
333;FREIMAN Samuel;USA;;;0.00;;;0.00;;;;;;;0.00
334;LIMARDO Jesus;VEN;;;;;;;;;;;;0.00;0.00
334;ROCCO Emanuele;ITA;;;;;0.00;;;;;;;;0.00
336;LEMAIGRE Guillaume;BEL;0.00;0.00;0.00;;;0.00;0.00;;;;;;0.00
337;MIELNICZEK Ignacy;POL;;;;;;;0.00;0.00;;;;;0.00
338;IBRAHIM Ayyub;USA;;;;;;0.00;0.00;;;;;;0.00
339;LEOMBRUNO Marco;ITA;;;;;0.00;;;;;;;;0.00
340;KRICKIC David;CRO;;0.00;;;0.00;;;;;0.00;;;0.00
341;VILCEANU Victor;ROU;;0.00;;;;;;0.00;;;;;0.00
342;MOHSIN Abbas Abdulwahid;IRQ;;;;;;;;;;;;0.00;0.00
342;GANNON-O'GARA Rene;USA;;;0.00;;;;;;;;;;0.00
342;TANIGUCHI Takuya;JPN;;;;;;;0.00;;;;;;0.00
345;ANDRES Alberto;ESP;;;0.00;;;;0.00;0.00;;;;;0.00
346;RICUTA Laurentiu;ROU;;0.00;;;;;;0.00;;0.00;;;0.00
347;EGERTZ-SKAANES Oskar;SWE;;0.00;0.00;;;;;;;;;;0.00
348;GRIGORJEV Aleksandr;EST;;;0.00;;;;;;;;;;0.00
349;SABAN Vedran;CRO;;0.00;;;0.00;;;0.00;;0.00;;;0.00
350;KOLARIC Jovan;SRB;;0.00;;;;;;0.00;;0.00;;;0.00
351;CHADO TODOROVSKI Vojdan;MKD;;;;;;;;;;;;0.00;0.00
352;SANFELIU Albert;ESP;;;0.00;;0.00;0.00;;;;;;;0.00
353;MOROV Jonathan;BUL;;0.00;;;;;;;;0.00;;;0.00
354;VEGAS Borja;ESP;0.00;;;;;;;;;;;;0.00
355;HERBERN Stian;NOR;;0.00;0.00;;;;0.00;0.00;;;;;0.00
356;WINDELS Stijn;BEL;0.00;0.00;;;;;;;;;;;0.00
357;ASHRAF Moustafa;EGY;;;;;;;;0.00;;;;;0.00
357;NIESTROJ Daniel;POL;;;;;;;;0.00;;;;;0.00
359;SCHOBER Maximilian;AUT;0.00;;0.00;;0.00;0.00;0.00;;;;;;0.00
360;DE WIJN Zoa;NED;;;0.00;;;;;;;;;0.00;0.00
361;CHENG Pak Hang;HKG;;;;;;;;;;;;0.00;0.00
362;VASILIAUSKAS Andrius;LTU;;0.00;;;;;;;;0.00;;;0.00
363;LUND Jonas;NOR;;;0.00;;;;;0.00;;;;;0.00
364;GALINSKI Bartlomiej;POL;;0.00;0.00;;;;;;;;;;0.00
365;HOUSE Alex;USA;;0.00;;;;;;;;;;;0.00
365;MEJIA GARCIA Cristian Edenilson;ESA;;;;;;;;;;;;0.00;0.00
367;CAMPILL Marco;LUX;0.00;;;;;0.00;;;;;;;0.00
368;FISHLER Clifford;USA;;0.00;;;;;;;;;;;0.00
368;YOSHIZAWA Naoki;JPN;;;;;;;0.00;;;;;;0.00
370;NEGRAIA Bogdan;ROU;;0.00;;;;;;0.00;;;;;0.00
371;NASZKOWSKI Kamil;POL;;;;;;;0.00;0.00;;;;;0.00
372;GAUTHIER Romain;SUI;;;;;;0.00;;;;;;;0.00
372;LAGUTOCKIN Maksim;TKM;;;;;;;;;;;;0.00;0.00
374;KYLLONEN Markus;FIN;;;0.00;;;;0.00;;;;;;0.00
375;XU Shenhua;CHN;;;;;;;;;;;;0.00;0.00
376;BLAIS-BELANGER Marc-Antoine;CAN;;;;;;;0.00;;;;;0.00;0.00
377;PAOLI Stefano;SUI;;;;;;0.00;;;;;;;0.00
377;STANKEVYCH Volodymyr;UKR;;;0.00;;;;;;;;;;0.00
379;KHOO Willie Zi Le;SGP;;;;;;;;0.00;;;;0.00;0.00
380;FAERBER Stephan;SUI;;;;;;0.00;;;;;;;0.00
381;ANDERSON Mathew;CAN;;;0.00;;;;0.00;;;;;;0.00
382;CONSTANTIN Lucas;SUI;;;;;;0.00;;;;;;;0.00
383;BROOKE William;CAN;;;;;0.00;;;;;;;;0.00
383;BAYARD Alexis;SUI;;;;;;0.00;;;;;;;0.00
383;YAU Shun Him Himson;HKG;;;;;;;;;;;;0.00;0.00
386;BOGDANOV Alexander;ISR;;;0.00;;;;;;;;;;0.00
387;MEDLEY Gavin;USA;;0.00;;;;0.00;0.00;;;;;;0.00
388;PINTO CANO Daniel;COL;;;;;;;;;;;;0.00;0.00
389;ANDREYUK Nazariy;UKR;;0.00;;;0.00;;;0.00;;;;;0.00
390;HADDAD Zeid;JOR;;;;;;;;;;;;0.00;0.00
391;TATAROGLU Berk;TUR;;;;;0.00;0.00;0.00;;;;;;0.00
392;IYIOLOGLU Meric;TUR;;;;;0.00;0.00;0.00;;;;;;0.00
393;BADGER Peregrine;USA;;;;;;;0.00;;;;;;0.00
393;TRUJILLO Erick;MEX;;;;;;;;;;;;0.00;0.00
395;WARREYN Sander;BEL;;;0.00;;0.00;;0.00;;;;;;0.00
396;ROTHFELD Andre;BRA;;;;;;;;;;;;0.00;0.00
397;DOBBELSTEYN Michael;CAN;;;;;;;0.00;;;;;;0.00
397;SNELL Robert;AUS;;;;;;;;;;;;0.00;0.00
399;MINKEVICIUS Lukas;LTU;;0.00;;;;;;;;;;0.00;0.00
400;BOCKO Matus;SVK;;0.00;;;;;;0.00;;;;;0.00
401;HAIKAL Tony;LBN;;;;;;;;;;;;0.00;0.00
402;KHILKO Igor;UKR;;0.00;;;0.00;;;0.00;;;;;0.00
403;AIDO Henrik;EST;;;0.00;;;;0.00;;;;;;0.00
404;ANDERSSON Mans;SWE;;;;;;;0.00;;;;;;0.00
405;TAKEDA Jin;JPN;;;;;;;0.00;;;;;;0.00
406;ALLIKSAAR Renee;EST;;;0.00;;;;;;;;;;0.00
406;ZHUMABAI UULU Daanyshman;KGZ;;;;;;;;;;;;0.00;0.00
406;DABIJA Adrian;ROU;;;;;;;;0.00;;;;;0.00
409;FEDYNA Vlad;UKR;;0.00;0.00;;0.00;;;0.00;;;;;0.00
410;DOWNES Adam;SWE;;;0.00;;;;0.00;;;;;;0.00
411;CSAK Marcell;HUN;;;;;;;;0.00;;;;;0.00
412;D'AMICO Kristian;CZE;;;;;;0.00;;0.00;;;;;0.00
413;BARRIO Jorge;ESP;;;;;0.00;;0.00;;;;;;0.00
414;DUTCHAK Anton;UKR;;;0.00;;;;;;;;;;0.00
415;JAHIMOVICS Andris;LAT;;;;;;;;;;;;0.00;0.00
416;LAPPALAINEN Pauli;FIN;;;0.00;;;;0.00;;;;;;0.00
417;WILLEMO Jakob;SWE;;;;;;;0.00;;;;;;0.00
418;ESER Lutfi;TUR;;;;;0.00;0.00;;;;;;;0.00
419;GOLEC Pawel;POL;;;;;;;0.00;0.00;;;;;0.00
420;KIRJONEN Santeri;FIN;;;0.00;;;;;;;;;;0.00
420;SATKAUSKAS Kasparas;LTU;;;;;;;;;;;;0.00;0.00
422;TAMMOJA Mike;EST;;;0.00;;;;0.00;;;;;;0.00
423;OSTAPENKO Aleksandrs;LAT;;;;;;;;;;;;0.00;0.00
424;KRUTALEVICH Ilya;KAZ;;;;;;;;;;;;0.00;0.00
424;ROGNON Antoine;SUI;;;;;;0.00;;;;;;;0.00
426;LEBEDEV Eduard;EST;;;0.00;;;;0.00;;;;;;0.00
427;STEINBOCK Daniel;SWE;;;;;;;0.00;;;;;;0.00
427;LUCCI Francesco;ITA;;;;;0.00;;;;;;;;0.00
429;AMMANN Max;SUI;;;;;;0.00;;;;;;;0.00
429;SIEBER Henri;SUI;;;;;;0.00;;;;;;;0.00
429;LERUS ROULEZ Hendrick;FRA;;;;;;;;0.00;;;;;0.00
432;MANDLA Marten;EST;;;0.00;;;;0.00;;;;;;0.00
433;RIAD Ali;ISR;;;;;;;0.00;;;;;;0.00
434;NUOTIO Tatu;FIN;;;0.00;;;;0.00;;;;;;0.00
435;STASIUNAS Paulius;LTU;;;;;;0.00;;0.00;;;;;0.00
436;KUTZIY Alon;ISR;;;0.00;;;;0.00;;;;;;0.00
437;LEE Samuel;SGP;;;;;;;;;;;;0.00;0.00
438;HAMOLINE Gautier;BEL;;0.00;0.00;;;;;;;;;;0.00
439;YEGER Stav;ISR;;;0.00;;0.00;;0.00;;;;;;0.00
440;ILLE Ondrej;SVK;;0.00;;;;;;0.00;;;;;0.00
441;GAECHTER Flurin;SUI;;;;;;0.00;;;;;;;0.00
442;DJEENBAYEV Saidbek;UZB;;;;;;;;;;;;0.00;0.00
443;BRZOZOWSKI Seweryn;POL;;0.00;0.00;;;;;;;;;;0.00
444;NISTOR Dmitrii;ROU;;;;;;;;0.00;;;;;0.00
444;VARELA Loic;FRA;;;;;;;;0.00;;;;;0.00
446;ROKOSZ Krzysztof;POL;;0.00;0.00;;;;;;;;;;0.00
447;ALCHIN Daniel Patrick;AUS;;;;;;;;;;;;0.00;0.00
447;DEFRANCE Yanael;FRA;;0.00;;;;;;;;;;;0.00
449;JACKSON Alpha;COD;;;;;;;;;;;;0.00;0.00
449;PARN Martin;EST;;;0.00;;;;;;;;;;0.00
451;SZABADOS Richard;BUL;;;;;;;;0.00;;;;;0.00
451;SEFULARO Keith Manyaneyane;RSA;;;;;;;;;;;;0.00;0.00
451;STEIS Lukas;SVK;;0.00;;;;;;;;;;;0.00
454;TIKHOMIROV Arseni;CAN;;;0.00;;0.00;;0.00;;;;;;0.00
455;KULT Pavel;CZE;;0.00;;;;;;0.00;;;;;0.00
456;YEDILKANULY Darkhan;KAZ;;;;;;;0.00;0.00;;;;;0.00
457;PUCHACHER Lukas;AUT;;;;;0.00;;0.00;;;;;;0.00
458;IZUMIDA Atsuya;JPN;;;;;;;0.00;;;;;;0.00
458;PIYA-ANANT Poonanant;THA;;;;;;;;;;;;0.00;0.00
460;MAJGIER Sebastian;POL;;;;;;;0.00;0.00;;;;;0.00
461;MAKRAY Bence;HUN;;;;;;;;0.00;;;;;0.00
461;POURCELOT Gregoire;FRA;;0.00;;;;;;;;;;;0.00
461;VON BAGH Samuli;FIN;;;0.00;;;;;;;;;;0.00
461;PHUA Helixman;SGP;;;;;;;;;;;;0.00;0.00
465;DURDYEV Byashim;TKM;;;;;;;;;;;;0.00;0.00
465;MORETTI Alessandro;ITA;;;;;0.00;;;;;;;;0.00
467;ODELEYE Oluwadamilola;NGR;;;;;;;;;;;;0.00;0.00
467;POZDNYAKOV Maxim;ISR;;;;;;;0.00;;;;;;0.00
467;EPURESCU Andrei;ROU;;0.00;;;;;;;;;;;0.00
470;ARAUJO Andre;POR;;;;;;;;0.00;;;;;0.00
470;KHAMITOV Gayrat;UZB;;;;;;;;;;;;0.00;0.00
472;LINDE Johan;SWE;;0.00;0.00;;;;0.00;;;;;;0.00
473;HEIKKARI Matias;FIN;;;0.00;;;;;;;;;;0.00
473;STEED Oliver;GBR;;0.00;;;;;;;;;;;0.00
473;MURTHY Shatyavanan;MAS;;;;;;;;;;;;0.00;0.00
473;SZALAY Jan;SVK;;;;;;;;0.00;;;;;0.00
477;STASZULONEK Aleksander;POL;;;;;;;0.00;;;;;;0.00
477;PLASKINS Sergejs;LAT;;;;;;;;;;;;0.00;0.00
477;TSOKAS Nikolaos;GRE;;0.00;;;;;;;;;;;0.00
480;AL HAMMADI Abdullah;UAE;;;;;;;;;;;;0.00;0.00
481;NEERGAARD Axel;FIN;;;0.00;;;;;;;;;;0.00
481;GASCON Willian;VEN;;;;;;;;;;;;0.00;0.00
483;BIENENFELD Emanuel;CRO;;0.00;;;;;;0.00;;;;;0.00
484;PINKERTON Steven;GBR;;0.00;;;;;0.00;;;;;;0.00
485;HOCHFELDEN Andrew;RSA;;;;;;;;;;;;0.00;0.00
485;DAMAS LOPEZ Jean Franco;VEN;;;;;;;;0.00;;;;;0.00
487;KOENIGSWIESER Justus;AUT;;;;;0.00;;0.00;;;;;;0.00
488;JACK Thomas;FIN;;;0.00;;;;;;;;;;0.00
488;REDONDO FREYLE Erik;ARU;;;;;;;;;;;;0.00;0.00
488;SHABANI Elmar;TKM;;;;;;;;;;;;0.00;0.00
491;PARIZAT Amit;ISR;;;;;;;0.00;;;;;;0.00
492;PINSENSCHAUM Jens;NAM;;;;;;;;;;;;0.00;0.00
492;VESANEN Niklas;FIN;;;0.00;;;;;;;;;;0.00
492;JOVCEVSKI Viktor;MKD;;;;;0.00;;;;;;;;0.00
495;SINGH Omkar;NEP;;;;;;;;;;;;0.00;0.00
496;FOGDE Oskar;FIN;;;0.00;;;;0.00;;;;;;0.00
497;ANICULAESEI Cristian;ROU;;0.00;;;;;;;;;;;0.00
498;KAAKINEN Kimmo;FIN;;;0.00;;;;;;;;;;0.00
499;HANSCHKE Samuel;GER;;;;;;;;0.00;;;;;0.00
500;BIRK Madis;EST;;;0.00;;;;;;;;;;0.00
501;HONKANEN Aleksis;FIN;;;0.00;;;;;;;;;;0.00
502;CAGLIDIL Muhip Ege;TUR;;;0.00;;;;;;;;;;0.00
503;MOHSEN Mahmoud;EGY;;;;;;;;0.00;;;;;0.00
504;WARG Jonathan;SWE;;;;;;;0.00;;;;;;0.00
505;SURANO Alvaro;ESP;;;;;;;0.00;;;;;;0.00
506;KANOUCHI Keiichi;JPN;;;;;;;0.00;;;;;;0.00
507;JOHNSSON Fredrik;SWE;;;;;;;0.00;;;;;;0.00
508;SVORAB Aliaksandr;BLR;;0.00;;;;;;;;;;;0.00
509;MATEITA Leonard;ROU;;0.00;;;;;;;;;;;0.00
510;WAHLGREN Rasmus;SWE;;;;;;;0.00;;;;;;0.00
511;FRIDMAN Daniel;ISR;;;;;;;0.00;;;;;;0.00
512;NYGARD Oskar;SWE;;;;;;;0.00;;;;;;0.00
513;FLATEN Adam Albrigtsen;NOR;;;;;;;0.00;;;;;;0.00
514;MANUM Bendik Mogens;NOR;;;;;;;0.00;;;;;;0.00
515;POPOVIC Valentin;SRB;;0.00;;;;;;;;;;;0.00
516;ESCHENBACH Richard;USA;;;;;;;0.00;;;;;;0.00
517;PELAJIC Ivan;CRO;;0.00;;;;;;;;;;;0.00
517;ERIKSEN Kai Haakon;NOR;;;;;;;0.00;;;;;;0.00
517;LEIVADAROS Petros;GRE;;0.00;;;;;;;;;;;0.00
520;EDIN Joakim;NOR;;;;;;;0.00;;;;;;0.00
521;EKLUND Edvin;SWE;;;;;;;0.00;;;;;;0.00
522;POTAPENKO Denis;UKR;;0.00;;;;;;;;;;;0.00
523;ISLAS FLYGARE Linus;SWE;;;;;;;0.00;;;;;;0.00
524;WERRING Cornelius;NOR;;;;;;;0.00;;;;;;0.00
525;SUNDBYE Richard;SWE;;;;;;;0.00;;;;;;0.00
525;MIECIUS Tadas;LTU;;0.00;;;;;;;;;;;0.00
527;WOLD Marius;NOR;;;;;;;0.00;;;;;;0.00
527;FABRICIUS-RAHBEK Ditlev;DEN;;;;;;;0.00;;;;;;0.00
529;KRASTANOV Dimitar;BUL;;0.00;;;;;;;;;;;0.00
530;JAKIMAVICIUS Zygimantas;LTU;;0.00;;;;;;;;;;;0.00
531;JANKOVIC Vuk;SRB;;0.00;;;;;;;;;;;0.00
531;HOSKOVEC Vaclav;CZE;;0.00;;;;;;;;;;;0.00
531;HUTAR Daniel;CZE;;0.00;;;;;;;;;;;0.00
531;NAKAMURA Go;JPN;;;;;;;0.00;;;;;;0.00
535;HAREL Jason;CAN;;;;;;;0.00;;;;;;0.00
536;FAGELL Maximilian;SWE;;;;;;;0.00;;;;;;0.00
537;CETIC Danilo;SRB;;0.00;;;;;;;;;;;0.00
537;NISHIZAWA Itsuki;JPN;;;;;;;0.00;;;;;;0.00
539;VAGGO Victor;SWE;;;;;;;0.00;;;;;;0.00
540;KRAUS Peter;SVK;;0.00;;;;;;;;;;;0.00
541;MED Johan Andreas;NOR;;;;;;;0.00;;;;;;0.00
542;GRACIN Vito;CRO;;0.00;;;;;;;;;;;0.00
542;SAMARDZIC Radomir;SRB;;0.00;;;;;;;;;;;0.00
542;UTNE Bendik;NOR;;;;;;;0.00;;;;;;0.00
545;NIKLASSON Carl;SWE;;;;;;;0.00;;;;;;0.00
546;BERGH Casper;NOR;;;;;;;0.00;;;;;;0.00
547;YIANNAKI Constantinos;CYP;;;;;;;0.00;;;;;;0.00
547;GAARDSTED Viktor Emil;DEN;;;;;;;0.00;;;;;;0.00
547;ALOUPAS Achilleas;CYP;;;;;;;0.00;;;;;;0.00
547;TODA Akitaka;JPN;;;;;;;0.00;;;;;;0.00
551;MIRONOV Amir;ISR;;;;;;;0.00;;;;;;0.00
552;MING Daniel;GBR;;;;;;;0.00;;;;;;0.00
553;DEMETRIOU Demetris;CYP;;;;;;;0.00;;;;;;0.00
