RANK;ATHLETE;NATION;Luxembourg A;Kuweit City A;Thessaloniki A;San Salvador A;Bratislava A;Bâle A;Riga A;Udine A;Toronto CHZ;Maribor CHZ;Alger CHZ;Abu Dhabi CHZ;Tashkent CHM;TOTAL
163;BONAMIGO Gabriel;BRA;;;;;;;;;6.00;;;;;6.00
163;CHAU Chak Hin Nicholas;HKG;;;;;;;;;;;;6.00;;6.00
165;ALLEGRE Paul;FRA;4.00;;;;2.00;0.00;0.00;;;;;;;6.00
166;FAVELA Ivann;MEX;;;;;;;;;6.00;;;;;6.00
167;PICOT Roman-Rene;RUS;2.00;4.00;;;0.00;;;;;;;;;6.00
168;SADEGHIAN Alireza;IRI;;;;;;;;;;;;6.00;;6.00
168;DE LA CRUZ Jean C;PUR;;;;;;;;;6.00;;;;;6.00
170;VELESTUK Isaac;CAN;;;;;;0.00;;;6.00;;;;;6.00
171;BLINNIKOV Alexey;RUS;4.00;;;;0.00;2.00;0.00;;;;;;;6.00
172;JAIME Esteban Camilo;COL;;;;;;;;;6.00;;;;;6.00
173;CONSTANTINESCU Ioan;ROU;4.00;;2.00;;;;;;;;;;;6.00
174;VERVOITTE Louis;FRA;;;;;0.00;4.00;2.00;;;;;;;6.00
175;HERNANDEZ TREJO Luis Angel;MEX;;;;;;;;;6.00;;;;;6.00
176;MATKERIMOV Nazarbek;KGZ;;;;;;;;;;;;6.00;0.00;6.00
177;GUBERT Leopoldo;BRA;;;;;;;;;6.00;;;;;6.00
177;MACSKA Adam;HUN;;;;;;;;;;6.00;;;;6.00
179;MOLANDER Paul Simon;ARG;;;;;;;;;6.00;;;;;6.00
180;BUNNEY Lachlan;AUS;;;;;;;;;;;;6.00;0.00;6.00
181;MCDOWALD Curtis;USA;;;;;0.00;4.00;;2.00;;;;;;6.00
182;NIESTROJ Daniel;POL;4.00;;;;0.00;0.00;2.00;;;0.00;;;;6.00
183;AL ZAROONI Khalifa;UAE;;;;;;;;;;;;6.00;;6.00
184;SATKAUSKAS Kasparas;LTU;;;;;0.00;;0.00;;;6.00;;;;6.00
185;KIM Daeeon;KOR;;;;;;;;;;;;6.00;;6.00
186;VILLIGER Jori;SUI;;;;;;0.00;2.00;4.00;;;;;;6.00
187;KIM Beomjun;KOR;;;;;;;;;;;;6.00;;6.00
188;HORETSKYY Ivan;UKR;0.00;;4.00;;0.00;0.00;2.00;;;;;;;6.00
189;DE WIJN Zoa;NED;0.00;;;;0.00;0.00;;;;6.00;;;0.00;6.00
190;ENKHBAT Nyamlkhagva;MGL;;;;;;;;;;;;6.00;;6.00
191;ZACHARAKIS Darius;USA;2.00;;;;2.00;2.00;;;;;;;;6.00
192;CANAUX Gabriel;USA;2.00;;;;2.00;;;2.00;;;;;;6.00
193;STYMNE Jakob;SWE;2.00;;;;2.00;0.00;2.00;;;0.00;;;;6.00
194;DUBOUSKI Pavel;BLR;;;;;2.00;2.00;2.00;;;0.00;;;;6.00
195;HAMOLINE Gautier;BEL;2.00;2.00;0.00;;0.00;0.00;2.00;0.00;;0.00;;;0.00;6.00
196;ZANCANELLA Amedeo;ITA;2.00;;;;0.00;2.00;;2.00;;;;;;6.00
197;METRAILLER Clement;SUI;2.00;;2.00;;0.00;0.00;;2.00;;;;;;6.00
198;WALTER Noe;GER;0.00;;;;2.00;2.00;2.00;0.00;;;;;;6.00
199;BARTISSOL Jose;POR;;;2.00;;0.00;0.00;;;;3.00;;;;5.00
200;VAGGO Victor;SWE;0.00;;;;2.00;;;;;3.00;;;;5.00
201;ABED Faisal;KSA;;2.00;;;;;;;;;;3.00;;5.00
202;TSOKAS Asterios;GRE;;;2.00;;;0.00;;;;3.00;;;;5.00
203;NG Ho Tin;HKG;;;;;;;;;;;;;5.00;5.00
204;HOVIKYAN Eduard;ARM;;;;;;;;;;0.00;;;5.00;5.00
205;GASCON Willian;VEN;;;;;0.00;;0.00;0.00;;;;;5.00;5.00
206;ABDUVALIEV Temurbek;UZB;;;;;;;;;;;;;5.00;5.00
207;HERNANDEZ Eduardo Nazareth;VEN;;;;;0.00;;0.00;0.00;;;;;5.00;5.00
