1	4
2	33
3	7
4	31
5	82
6	9
7	65
8	53
9	21
10	79
11	119
12	40
13	23
14	137
15	8
16	11
1	3
2	99
3	23
4	53
5	15
6	89
7	94
8	43
9	21
10	79
11	31
12	33
13	2
14	4
15	58
16	51
1	3
2	57
3	69
4	39
5	20
6	55
7	9
8	30
9	81
10	18
11	71
12	151
13	7
14	4
15	58
16	88
1	1
2	102
3	83
4	166
5	100
6	86
7	106
8	73
9	31
10	72
11	2
12	11
13	22
14	125
15	138
16	19
1	135
2	75
3	178
4	62
5	20
6	94
7	87
8	65
9	137
10	33
11	41
12	54
13	7
14	55
15	138
16	85
1	10
2	39
3	4
4	35
5	1
6	67
7	2
8	24
9	133
10	58
11	166
12	72
13	34
14	68
15	18
16	41
1	3
2	4
3	2
4	11
5	110
6	1
7	85
8	68
9	37
10	59
11	44
12	12
13	96
14	152
15	48
16	21
1	21
2	5
3	6
4	20
5	53
6	1
7	17
8	3
9	10
10	49
11	19
12	66
13	33
14	112
15	65
16	68
1	3
2	20
3	21
4	2
5	77
6	80
7	68
8	58
9	11
10	14
11	36
12	34
13	43
14	55
15	4
16	26
1	8
2	13
3	101
4	7
5	15
6	53
7	6
8	59
9	75
10	9
11	17
12	60
13	66
14	126
15	112
16	65
1	52
2	48
3	77
4	55
5	12
6	20
7	13
8	58
9	81
10	24
11	115
12	17
13	8
14	65
15	26
16	5
1	3
2	54
3	23
4	31
5	28
6	33
7	13
8	20
9	10
10	6
11	50
12	72
13	109
14	82
15	56
16	5
1	1
2	21
3	4
4	2
5	9
6	74
7	70
8	45
9	48
10	35
11	15
12	108
13	13
14	47
15	19
16	67
1	111
2	1
3	33
4	12
5	3
6	2
7	13
8	18
9	7
10	47
11	9
12	10
13	68
14	25
15	20
16	54
1	65
2	2
3	1
4	62
5	34
6	55
7	77
8	9
9	51
10	66
11	11
12	21
13	46
14	97
15	68
16	8
1	9
2	5
3	21
4	1
5	96
6	240
7	42
8	106
9	65
10	12
11	10
12	140
13	34
14	67
15	144
16	69
1	1
2	6
3	24
4	60
5	58
6	14
7	115
8	16
9	27
10	52
11	5
12	54
13	29
14	118
15	36
16	12
1	18
2	3
3	127
4	36
5	5
6	77
7	33
8	47
9	39
10	73
11	1
12	179
13	90
14	110
15	42
16	21
1	12
2	1
3	13
4	29
5	35
6	47
7	106
8	3
9	6
10	24
11	25
12	21
13	4
14	99
15	119
16	70
1	33
2	40
3	4
4	1
5	10
6	26
7	55
8	21
9	35
10	18
11	66
12	20
13	67
14	59
15	14
16	86
1	43
2	83
3	1
4	82
5	2
6	6
7	8
8	115
9	3
10	25
11	7
12	33
13	40
14	69
15	109
16	39
1	38
2	17
3	40
4	3
5	6
6	44
7	33
