RANK;ATHLETE;NATION;San Salvador A;Bratislava A;Espoo Helsinki A;Teheran A;Udine A;Bâle A;Göteborg A;Budapest A;Guatemala CHZ;Jerusalem CHZ;Le Caire CHZ;Amman CHZ;Plovdiv CHM;TOTAL
302;SOGUT Burak;TUR;;0.00;;2.00;0.00;;;;;;;;;2.00
303;HOROWITZ Charles;USA;;;2.00;;;;0.00;;;;;;;2.00
304;DABIJA Adrian;ROU;;2.00;;;;;;0.00;;;;;0.00;2.00
305;ROUVINEZ Sven;SUI;;0.00;0.00;;0.00;2.00;;;;;;;;2.00
306;LONNBERG Ivar;FIN;;;2.00;;;;;;;;;;;2.00
306;KARYUCHENKO Yevgeniy;UKR;;;;;2.00;;;;;;;;;2.00
308;MARTINI Cosimo;ITA;;0.00;;;2.00;;;;;;;;;2.00
309;PARIZAT Amit;ISR;;0.00;;;;;2.00;;;;;;;2.00
310;DE WIJN Zoa;NED;;0.00;0.00;;;0.00;;2.00;;;;;0.00;2.00
311;RUSSO Andrea;ITA;;0.00;2.00;;;;;;;;;;;2.00
312;SAFAR Cirill;HUN;;0.00;;;;2.00;;;;;;;;2.00
313;VERHELLE Thibault;BEL;;0.00;0.00;;0.00;0.00;2.00;0.00;;0.00;;;;2.00
314;RIEDEL Alexander;GER;;0.00;;;2.00;0.00;0.00;;;;;;;2.00
315;GASCON Willian;VEN;;;;;;;2.00;0.00;;;;;;2.00
316;NAUMOV Sergey;RUS;;2.00;0.00;;;;;;;;;;;2.00
317;MULLER Luis;AUT;;;;;;2.00;;;;;;;;2.00
318;ROSENBERG Gabriel;SWE;;;0.00;;;;2.00;;;;;;;2.00
319;PERSU Mario;ROU;;0.00;;;;;;2.00;;;;;0.00;2.00
320;VENCOVSKY Pavel;SVK;;2.00;;;0.00;0.00;;0.00;;;;;;2.00
321;FERNANDEZ PEREZ Javier;ESP;;0.00;;;0.00;2.00;;;;;;;;2.00
322;CSIKO Aron;HUN;;;;;;;;2.00;;;;;;2.00
323;HAMOLINE Gautier;BEL;;0.00;0.00;;0.00;0.00;0.00;2.00;;;;;;2.00
324;VINNICKY Ariel;ISR;;0.00;;;;;2.00;;;;;;;2.00
325;LEBEDEV Eduard;EST;;;2.00;;;0.00;0.00;0.00;;;;;0.00;2.00
326;BUDEK Karol;POL;;;;;;2.00;;;;;;;;2.00
327;MATHIS Kei;SUI;;;;;0.00;0.00;2.00;;;;;;;2.00
328;POPESCU Antonio;ROU;;;;;;;;2.00;;;;;;2.00
329;COMITO Davide;ITA;;;2.00;;0.00;;0.00;;;;;;;2.00
330;JOKINEN Simon;SWE;;;;;;;2.00;;;;;;;2.00
330;MIZUGUCHI Koki;JPN;;;;;2.00;;;;;;;;;2.00
330;MARINOZZI Federico;ITA;;;;;;;;2.00;;;;;;2.00
333;E SA Jason;RSA;;;;;;;;;;;0.00;;;0.00
334;FERNANDEZ MONGE David;CRC;0.00;;;;;;;;;;;;;0.00
335;CARNEIRO CHI Tsuyan;PAN;0.00;;;;;;;;;;;;;0.00
336;OSPINA PEREZ Nicolas;CRC;0.00;;;;;;;;;;;;;0.00
337;ZUNIGA MORALES Daniel Eduardo;HON;0.00;;;;;;;;;;;;;0.00
338;MINELLI Franco;ARG;;;;;;;;;0.00;;;;0.00;0.00
339;ROJAS CRUZ Vicente Antonio;NCA;;;;;;;;;0.00;;;;;0.00
340;OJEDA Ivan;CHI;;;;;;;;;0.00;;;;;0.00
341;CISNERO RIZO Ariel Enoc;NCA;;;;;;;;;0.00;;;;;0.00
342;CARRILLO Robin;GUA;;;;;;;;;0.00;;;;;0.00
342;ALATEYAH Khaleefah M. Kh. M;KUW;;;;;;;;;;;;0.00;;0.00
344;MALARET Ryan;PUR;;;;;;;;;0.00;;;;;0.00
344;HUANG Sheng Chi;TPE;;;;;;;;;;;;0.00;;0.00
346;ABED Faisal;KSA;;;;;;;;;;;;0.00;0.00;0.00
347;LEE Samuel;SGP;;;0.00;;;;;;;;;0.00;;0.00
348;WU Yu Ting;TPE;;;;;;;;;;;;0.00;;0.00
349;ALJEZANI Salem;KSA;;;;;;;;;;;;0.00;;0.00
350;LIM Neville Woon Juin;SGP;;;0.00;;;;;;;;;0.00;;0.00
351;AMERAH Aymen;JOR;;;;;;;;;;;;0.00;;0.00
352;RAKHIMBEKOV Yessengeldy;KAZ;;0.00;0.00;0.00;;;;;;;;;;0.00
353;RAZIZADEH Mir Hossein;IRI;;;;0.00;;;;;;;;;;0.00
354;RAZZAGHI Hamidreza;IRI;;;;0.00;;;;;;;;;;0.00
355;BALAOGHLANOV Aslan;AZE;;;;0.00;;;;;;;;;;0.00
355;KHIABANI Aryan;IRI;;;;0.00;;;;;;;;;;0.00
357;KHIABANI Arman;IRI;;;;0.00;;;;;;;;;;0.00
358;REZAEI Saeed;IRI;;;;0.00;;;;;;;;;;0.00
359;VAEZ Ali;IRI;;;;0.00;;;;;;;;;;0.00
360;EL CHOUEIRY Antoine;LBN;;;;0.00;;;;;;;;;;0.00
360;DOOSTAN Mohammad Mehdi;IRI;;;;0.00;;;;;;;;;;0.00
362;MAMMADOV Farid;AZE;;;;0.00;;;;;;;;;;0.00
362;ARAZYAN Arsen;ARM;;;;0.00;;;;;;;;;;0.00
364;JAHIMOVICS Andris;LAT;;;0.00;;;;;;;0.00;;;0.00;0.00
365;KARLSEN Knut Martin;NOR;;0.00;;;;;0.00;0.00;;;;;0.00;0.00
366;SELOI Steeven;FRA;;0.00;;;0.00;0.00;0.00;;;;;;;0.00
367;FERRARI Claudio;ITA;;;;;0.00;;0.00;;;;;;;0.00
368;FEMENIAS-METIVET Clement;CAN;;;;;;0.00;;;;;;;;0.00
368;LUCCI Francesco;ITA;;;;;0.00;;;;;;;;;0.00
368;EZCURRA Eduardo;ESP;;;;;;;0.00;;;;;;;0.00
371;GORBONOS Dmitriy;RUS;;;0.00;;0.00;;;;;;;;;0.00
372;GOLEC Pawel;POL;;0.00;0.00;;;0.00;;;;;;;;0.00
373;DUDAS Balazs;HUN;;;;;;;;0.00;;;;;;0.00
374;SANTRAC Danilo;SRB;;0.00;;;;;;0.00;;;;;;0.00
375;GYORFFY Kristof;HUN;;;;;;;;0.00;;;;;;0.00
376;MARCOL Daniel;POL;;0.00;;;;;;0.00;;;;;;0.00
377;CARVALHO Francisco;POR;;;;;;;;;;0.00;;;;0.00
378;WINDELS Stijn;BEL;;0.00;0.00;;0.00;0.00;0.00;0.00;;;;;;0.00
379;TAMMOJA Mike;EST;;;0.00;;;;;;;0.00;;;;0.00
380;SEIJAS Ramses;VEN;;;;;;;;0.00;;;;;;0.00
381;MATIC Luka;CRO;;0.00;;;0.00;;;0.00;;;;;;0.00
382;JACK Thomas;FIN;;;0.00;;;0.00;0.00;;;0.00;;;0.00;0.00
383;CORCORAN Geoffrey;IRL;;;0.00;;;;0.00;;;0.00;;;0.00;0.00
384;GAVALDA Eugeni;ESP;;;;;;0.00;;0.00;;;;;;0.00
385;DI COSTE Samuele;ITA;;;;;0.00;;;0.00;;;;;;0.00
386;PFISTER Bastien;SUI;;;;;;0.00;;;;;;;;0.00
387;NUOTIO Tatu;FIN;;0.00;0.00;;;0.00;0.00;;;;;;;0.00
388;FROMONT Georges;BEL;;;0.00;;;;;0.00;;;;;;0.00
389;BUDEK Karol;POL;;0.00;;;;;;0.00;;;;;;0.00
390;OSWALD Charles-Eric;SUI;;0.00;0.00;;;0.00;;0.00;;;;;;0.00
391;MALLO Robin;FRA;;;;;0.00;0.00;;;;;;;;0.00
392;DVARISKIS Edgaras;LTU;;0.00;;;;;;;;;;;0.00;0.00
393;SIGNORELL Yannick;SUI;;;0.00;;;0.00;;;;;;;;0.00
394;LAPIN Simon;BEL;;0.00;;;0.00;;0.00;;;;;;;0.00
395;NAKAMURA Go;JPN;;;;;;;0.00;;;;;;;0.00
395;DROBOT George;ROU;;;;;;;;0.00;;;;;;0.00
397;VAGGO Victor;SWE;;0.00;0.00;;;;0.00;;;;;;;0.00
398;JAANUS Martin;EST;;;0.00;;;;;;;0.00;;;;0.00
399;VAFIN Linar;RUS;;0.00;0.00;;;;;;;;;;;0.00
400;KNECHTL Lukas;AUT;;0.00;;;0.00;0.00;0.00;;;;;;;0.00
401;SIMPSON James;IRL;;0.00;0.00;;;0.00;0.00;;;;;;;0.00
402;FRAS Mieszko;POL;;0.00;0.00;;;0.00;0.00;0.00;;;;;;0.00
403;CAMPILL Marco;LUX;;0.00;;;0.00;0.00;0.00;0.00;;;;;;0.00
404;VILLALBA Victor;ESP;;;;;;0.00;0.00;;;;;;;0.00
405;KNUDSEN Kenneth;DEN;;;;;;;0.00;;;0.00;;;;0.00
406;KABULOV Batradz;RUS;;0.00;;;;;;;;;;;;0.00
406;ZELENSKIY Yevgeniy;UKR;;;0.00;;;;;;;;;;;0.00
408;KARPOV Viacheslav;BLR;;;;;;;;;;0.00;;;;0.00
409;ZMAUC-KVAR Ziga;SLO;;0.00;;;0.00;0.00;;0.00;;0.00;;;0.00;0.00
410;CAUDO Domenico;ITA;;;;;0.00;;;;;;;;;0.00
411;KAAKINEN Kimmo;FIN;;0.00;0.00;;;;;;;;;;;0.00
412;MAYALL-VANDERVELDE Henry;AUS;;;;;;;;0.00;;;;;;0.00
412;FAJKIS Krystian;POL;;0.00;;;;;;;;;;;;0.00
412;MOROV Jonathan;BUL;;;;;;;;;;;;;0.00;0.00
412;SCHMIER Robert;GER;;;;;;;;0.00;;;;;;0.00
412;VILLANI Demetrio;ITA;;;;;;;;0.00;;;;;;0.00
417;VAZ Andre;POR;;;;;;;;;;0.00;;;;0.00
417;PICOT Roman-Rene;RUS;;;0.00;;;;;;;;;;;0.00
419;MASSEREY Cyrille;SUI;;;;;;0.00;;;;;;;;0.00
420;DI COSTE Matteo;ITA;;;;;;;;0.00;;;;;;0.00
421;BUNDALO Ivan;SRB;;0.00;;;0.00;;;;;;;;0.00;0.00
422;ONO Hiroki;JPN;;;;;0.00;;0.00;;;;;;;0.00
423;KULT Pavel;CZE;;0.00;;;0.00;0.00;;0.00;;;;;;0.00
424;BOGOVIC Maurizio;CRO;;0.00;;;0.00;;;;;;;;;0.00
425;CARLES Antoni Manel;ESP;;;;;;0.00;0.00;;;;;;;0.00
426;STANEVITS Aleksander;EST;;;0.00;;;;;;;;;;;0.00
427;BITSCH Peter;GER;;0.00;;;0.00;0.00;0.00;;;;;;;0.00
428;MATKERIMOV Nazarbek;KGZ;;;;;;;;;;;;;0.00;0.00
429;DE CLERCQ Henri;BEL;;0.00;;;0.00;0.00;;;;;;;;0.00
430;KOCK Joachim;FIN;;;0.00;;;;0.00;;;;;;;0.00
431;ESKOV Ruslan;EST;;;;;;;0.00;;;;;;;0.00
432;GAECHTER Flurin;SUI;;0.00;0.00;;;0.00;;0.00;;;;;;0.00
433;ELSOKKARY Ahmad;EGY;;;;;;;0.00;0.00;;;;;;0.00
434;SCALZO Giacomo;ITA;;;;;;;0.00;;;;;;;0.00
435;FRIDMAN Daniel;ISR;;0.00;;;0.00;;0.00;;;;;;;0.00
436;BLAGNICEANU Valentin;ROU;;0.00;;;;;;0.00;;;;;;0.00
437;MILIC Milos;SRB;;0.00;;;;;;0.00;;;;;0.00;0.00
438;PIZENBERG Jacob;ISR;;0.00;;;0.00;;0.00;;;;;;;0.00
439;POPOVICI Michael;USA;;;;;0.00;;;;;;;;;0.00
440;ANWAR Abdelwahab;EGY;;0.00;;;;;;0.00;;;;;;0.00
441;RASHEED Alvaro;ESP;;0.00;;;0.00;;0.00;;;;;;;0.00
442;SATKAUSKAS Kasparas;LTU;;0.00;;;;;;;;;;;0.00;0.00
443;HOFFMANN Thomas;GBR;;0.00;0.00;;;0.00;0.00;;;;;;;0.00
444;TKACHUK Leontii;UKR;;;0.00;;0.00;;;;;;;;;0.00
445;SWIRIDOW Anton;GER;;0.00;;;0.00;0.00;;;;;;;;0.00
446;KUMISA Matej;CRO;;0.00;;;0.00;;;0.00;;;;;;0.00
447;KUKUCSKA Daniel;HUN;;;;;;;;0.00;;;;;;0.00
448;PAVEL Claudiu Marian;ROU;;0.00;;;0.00;;;;;;;;;0.00
449;HUNGERBUHLER Nicolas;SUI;;;;;;0.00;;;;;;;;0.00
450;BRADAC Petr;CZE;;0.00;;;0.00;0.00;;0.00;;;;;;0.00
451;CONDE Alejandro;ESP;;;;;;0.00;0.00;0.00;;;;;;0.00
452;KIMFORS Anton;SWE;;;0.00;;;;0.00;;;;;;;0.00
453;BIANCHI Tiziano;SUI;;;;;;0.00;;;;;;;;0.00
453;HESSLEGRAVE Porter;USA;;0.00;;;;;;;;;;;;0.00
455;HUTAR Daniel;CZE;;0.00;;;;;;;;;;;;0.00
455;ILIESKI David;MKD;;;;;;;;;;;;;0.00;0.00
455;VAN GILST Sebastiaan;NED;;;;;;;0.00;;;;;;;0.00
458;VALERIO Giancarlo;ITA;;;;;;;;0.00;;;;;;0.00
459;HELGEGREN Rikard;SWE;;;0.00;;;;;;;;;;;0.00
460;WANG Qifan;CAN;;;;;;0.00;;;;;;;;0.00
461;PECK Harry;MLT;;0.00;0.00;;;0.00;0.00;;;;;;;0.00
462;ANTTILA Santeri;FIN;;;0.00;;;;;;;;;;;0.00
462;MILANI Riccardo;ITA;;;;;0.00;;;;;;;;;0.00
464;FOGDE Oskar;FIN;;;0.00;;;;;;;;;;;0.00
465;VALERO Francisco Jose;ESP;;;;;;0.00;0.00;;;;;;;0.00
466;GUSAROV Klim;EST;;;0.00;;;;0.00;;;;;;;0.00
467;RAHBEK Mikkel Christian;DEN;;0.00;;;;;;;;;;;;0.00
468;KOCHBATI Erik;SWE;;;0.00;;;;0.00;;;;;;;0.00
469;NOEL Guillaume;BEL;;0.00;;;;;;0.00;;;;;;0.00
470;CHADO TODOROVSKI Vojdan;MKD;;;;;;;;;;;;;0.00;0.00
470;DESJARDINS Vincent;CAN;;;;;;0.00;;;;;;;;0.00
470;KULOZIK Julian;GER;;;;;;;;0.00;;;;;;0.00
473;SJOBLOM WRANGLE Rikard;SWE;;;0.00;;;;;;;;;;;0.00
473;FLOREA Florian;ROU;;;;;;;;0.00;;;;;;0.00
475;KISS Balint;HUN;;;;;;0.00;;0.00;;;;;;0.00
476;BERGH Casper;NOR;;0.00;;;;;0.00;;;;;;;0.00
477;FJERMESTAD Tord;NOR;;0.00;;;;;0.00;;;;;;;0.00
478;SJOHOLM Mikko;FIN;;;0.00;;;;;;;;;;;0.00
479;ARIAS-OLSSON Felix;SWE;;;0.00;;;;0.00;;;;;;;0.00
480;OKLAND Alexios;NOR;;;;;;;;0.00;;;;;;0.00
481;BELLOMI Luca;ITA;;;;;;;0.00;;;;;;;0.00
481;TROINA Eugenio;ITA;;;;;;;;0.00;;;;;;0.00
483;BURNSIDE Jonathan;IRL;;;0.00;;;;0.00;;;;;;;0.00
484;KRAUS Daniel;SVK;;0.00;;;;;;0.00;;;;;;0.00
485;BURCHENKOV Ivan;UKR;;0.00;;;;;;;;;;;;0.00
485;GALIMZYANOV Rasim;RUS;;;;;;;;0.00;;;;;;0.00
487;MURAKOSHI Yuki;JPN;;;;;0.00;;0.00;;;;;;;0.00
488;PIREK Cyril;SUI;;0.00;;;;0.00;;;;;;;;0.00
489;RAZ Ori;ISR;;;0.00;;;;;;;;;;;0.00
490;MIROVSKY Vojtech;CZE;;;;;;0.00;;0.00;;;;;;0.00
491;ALLIKSAAR Renee;EST;;;0.00;;;;;;;;;;;0.00
491;RIEU Robin;FRA;;0.00;;;;;;;;;;;;0.00
491;MEKRAS Constantinos;GRE;;;;;;;;;;;;;0.00;0.00
494;TSOKAS Nikolaos;GRE;;;;;;;;;;;;;0.00;0.00
495;FRIEDL Fabian;AUT;;0.00;;;0.00;0.00;;;;;;;;0.00
496;DOSSOU-GOUIN Axel;NOR;;;;;;;0.00;;;;;;;0.00
497;WILLEMO Jakob;SWE;;;;;0.00;;;;;;;;;0.00
497;NIKLASSON Carl;SWE;;;0.00;;;;;;;;;;;0.00
497;KOMATA Akira;JPN;;;;;;;0.00;;;;;;;0.00
500;CALUWAERTS Ruben;BEL;;0.00;;;0.00;0.00;;;;;;;;0.00
501;ERIKSEN Kai Haakon;NOR;;0.00;0.00;;;;0.00;;;;;;;0.00
502;SAMARDZIC Radomir;SRB;;;;;;;;0.00;;;;;;0.00
503;PONNET Robin;BEL;;0.00;0.00;;;;;;;;;;;0.00
504;DIKOV Plamen;BUL;;;;;;;;;;;;;0.00;0.00
505;KILJANDER Oskar;FIN;;;0.00;;;;;;;;;;;0.00
505;WEIL Danton Prem Balan;MAS;;;;;;;;;;;;;0.00;0.00
507;SCHLESSER Gregory;LUX;;0.00;0.00;;;0.00;0.00;;;;;;;0.00
508;FRAPPIER Dominique;LUX;;0.00;;;;0.00;0.00;0.00;;;;;;0.00
509;LOW Aloysius Hoi Yeen;SGP;;;0.00;;;;;;;;;;0.00;0.00
510;KLETZ Theo Maurice;ISR;;;;;;;0.00;;;;;;;0.00
510;WRIGHT Joseph;CAN;;;;;;0.00;;;;;;;;0.00
510;KYPRAIOS Spyridon;GRE;;;;;;;;;;;;;0.00;0.00
513;MOIR Indiana;AUS;;;;;;0.00;0.00;;;;;;0.00;0.00
514;NICHOLS Harrison;GBR;;;;;;;0.00;;;;;;;0.00
515;MAYER Maximilian;AUT;;0.00;;;;0.00;;;;;;;;0.00
516;NEERGAARD Axel;FIN;;;0.00;;;;;;;;;;;0.00
516;CHOLAKOV Evgeni;BUL;;;;;;;;;;;;;0.00;0.00
518;WILHELMSON Axel Emil;FIN;;;0.00;;;;0.00;;;;;;;0.00
519;CIMBOREVICS Ernests;LAT;;;0.00;;;;;;;;;;;0.00
520;PACHECO Edgar Elier;MEX;;;;;;;0.00;0.00;;;;;;0.00
521;TRUMMAL Tarmo;EST;;;0.00;;;;0.00;;;;;;;0.00
522;MIKKILA Max;FIN;;;;;;;0.00;;;;;;;0.00
523;WELFRINGER Max;LUX;;0.00;0.00;;;0.00;0.00;;;;;;;0.00
524;PANELIUS Rufus;FIN;;;0.00;;;;0.00;;;;;;;0.00
525;ROGNON Antoine;SUI;;;;;;0.00;;;;;;;;0.00
525;ABDRAKHMAN UULU Kubatbek;KGZ;;;;;;;;;;;;;0.00;0.00
527;RECLO Martin;SVK;;0.00;;;;;;;;;;;;0.00
528;MED Johan Andreas;NOR;;0.00;;;;;0.00;0.00;;;;;;0.00
529;PRICE Jamie;IRL;;;0.00;;;;0.00;;;;;;;0.00
530;KULKA Peter;SVK;;0.00;;;0.00;;;;;;;;;0.00
531;SABAN Vedran;CRO;;0.00;;;;;;;;;;;;0.00
531;HAMALAINEN Roni;FIN;;;0.00;;;;;;;;;;;0.00
531;ECKERT Arnault;SUI;;;;;;0.00;;;;;;;;0.00
534;VILLIGER Jori;SUI;;;;;;0.00;0.00;;;;;;;0.00
535;SAAVALAINEN Ellis;FIN;;;0.00;;;;0.00;;;;;;;0.00
536;BUNNEY Lachlan;AUS;;;;;;;0.00;;;;;;0.00;0.00
537;MANCEWICZ Bartlomiej;SWE;;;;;;;0.00;;;;;;;0.00
537;KOPPEL Aron;EST;;;0.00;;;;;;;;;;;0.00
537;TOPCUOGLU Muhammed Erkam;TUR;;;;;;;;0.00;;;;;;0.00
540;KOLARIC Jovan;SRB;;;;;;;;;;;;;0.00;0.00
541;SUTELAINEN Otto;FIN;;;0.00;;;;;;;;;;;0.00
542;NISHIMOTO Yuto;JPN;;;;;;;0.00;;;;;;;0.00
542;CHEW Quentin Howe Wai;SGP;;;0.00;;;;;;;;;;;0.00
544;LOMBARDO Emiliano Ernesto;ARG;;;;;;;;0.00;;;;;0.00;0.00
545;JURKA Tomas;CZE;;0.00;;;;;;;;;;;;0.00
546;TOSCANO-WESTMAN Erik;SWE;;;;;;;0.00;;;;;;;0.00
546;FITAS Anouar;ALG;;;;;;;;;;;;;0.00;0.00
548;ADOLFSSON Felix;SWE;;;;;;;0.00;;;;;;;0.00
548;ODEVCI Hasan Berkant;TUR;;;;;;;;0.00;;;;;;0.00
550;STOLAR Samuel;SVK;;0.00;;;;;;0.00;;;;;;0.00
551;AL-SALEHI Saleh Musaed Nasser;YEM;;;;;;;;;;;;;0.00;0.00
552;WOODLEY William;SUI;;;;;;0.00;;;;;;;;0.00
552;MENDOZA Carlos;VEN;;;;;;;;0.00;;;;;;0.00
552;BATSUREN Amarbold;MGL;;;;;;;;;;;;;0.00;0.00
555;CIGANIK Ondrej;CZE;;;;;;0.00;;0.00;;;;;;0.00
556;TYCHLER Pavel;RSA;;;;;;0.00;;;;;;;;0.00
556;TRZEPIZUR Przemyslaw;POL;;;;;;;;0.00;;;;;;0.00
558;YANEZ Adrian;ESP;;0.00;;;;;0.00;;;;;;;0.00
558;WALLA Aaron;AUT;;0.00;;;;0.00;;;;;;;;0.00
560;MICHALIK Samuel;SVK;;0.00;;;;;;;;;;;;0.00
561;ELIASSEN Ferdinand;NOR;;;;;;;0.00;0.00;;;;;;0.00
562;VEUTHEY Alvaro;ESP;;;;;;0.00;;;;;;;;0.00
562;UGRYUMOV Roman;KAZ;;;;;;;0.00;;;;;;;0.00
564;NASIRDINOV Abdulbosid;UZB;;;;;;;;;;;;;0.00;0.00
565;MANUM Bendik Mogens;NOR;;0.00;;;;;0.00;;;;;;;0.00
566;KROHN Otthar Andreas;NOR;;0.00;;;;;0.00;;;;;;;0.00
567;BOUCEK Dominik;CZE;;0.00;;;;;;0.00;;;;;;0.00
568;NISHIZAWA Itsuki;JPN;;;;;;;0.00;;;;;;;0.00
569;ENKHBAT Nyamlkhagva;MGL;;;;;;;;;;;;;0.00;0.00
570;TURKA Sartaj Singh;IND;;;;;;;;;;;;;0.00;0.00
571;JOYE Alexandre;SUI;;;;;;0.00;;;;;;;;0.00
571;LAI Je Yu;TPE;;;;;;;;;;;;;0.00;0.00
571;ABDUL RAZAK Saeed Zaky;GHA;;;;;;;;;;;;;0.00;0.00
574;FAGELL Maximilian;SWE;;;;;;;0.00;;;;;;;0.00
574;PLAJER David;GER;;0.00;;;;;;;;;;;;0.00
574;BECCAR VARELA Francisco Javier;ARG;;;;;;;;;;;;;0.00;0.00
574;COCHARD Baptiste;SUI;;;;;;0.00;;;;;;;;0.00
578;PAVLOV Filip;MKD;;;;;;;;;;;;;0.00;0.00
579;ERDENEBAT Bat-Erdene;MGL;;;;;;;;;;;;;0.00;0.00
580;FABIAN Marcel;SVK;;0.00;;;;;;;;;;;;0.00
581;ANIES Filip;SWE;;;;;;;0.00;;;;;;;0.00
582;BERG Mads Peter;DEN;;;;;;;0.00;;;;;;;0.00
583;OLSEN Johannes Kristian;DEN;;;;;;;0.00;;;;;;;0.00
584;KAWAKITA Shinkai;JPN;;;;;;;0.00;;;;;;;0.00
585;EDIN Joakim;NOR;;;;;;;0.00;;;;;;;0.00
585;AVIS Anthony;GBR;;0.00;;;;;;;;;;;;0.00
587;NAUMOV Vladysslav;UKR;;0.00;;;;;;;;;;;;0.00
588;ALEXANDERSEN Nicolaj;DEN;;;;;;;0.00;;;;;;;0.00
589;SKIOLD Olov;SWE;;;;;;;0.00;;;;;;;0.00
590;MIRONOV Amir;ISR;;0.00;;;;;0.00;;;;;;;0.00
591;MURAYAMA Kentaro;JPN;;;;;;;0.00;;;;;;;0.00
592;SHITRIT Ron;ISR;;;;;;;0.00;;;;;;;0.00
593;FERRARIN Franky;LUX;;;;;;;0.00;;;;;;;0.00
594;HOSKOVEC Vaclav;CZE;;0.00;;;;;;;;;;;;0.00
594;LINNEMANN Christian Schack;DEN;;;;;;;0.00;;;;;;;0.00
596;DUDUC Alex;SVK;;0.00;;;;;;;;;;;;0.00
597;CETIC Danilo;SRB;;0.00;;;;;;;;;;;;0.00
597;ERIKSSON Carl-Johan;SWE;;;;;;;0.00;;;;;;;0.00
599;EPURESCU Andrei;ROU;;0.00;;;;;;;;;;;;0.00
599;BOVIN Sofus;DEN;;;;;;;0.00;;;;;;;0.00
601;ANDRASI Adrian;SVK;;0.00;;;;;;;;;;;;0.00
602;HATIEZ Louis;FRA;;0.00;;;;;;;;;;;;0.00
602;KOVERBERG Henrik;SWE;;;;;;;0.00;;;;;;;0.00
604;HLAVA Marek;CZE;;0.00;;;;;;;;;;;;0.00
605;NETTEMAN Lars;LUX;;;;;;;0.00;;;;;;;0.00
606;ELSAYED Mohamed;EGY;;;;;;;0.00;;;;;;;0.00
607;ZALESAK Adam;SVK;;;;;;;0.00;;;;;;;0.00
607;JOHANNS Loic;LUX;;;;;;;0.00;;;;;;;0.00
609;CRUZ Joao Rodrigo;POR;;;;;;;0.00;;;;;;;0.00
610;SZABO Bence;HUN;;0.00;;;;;;;;;;;;0.00
611;DE ZORDO BANLIAT Arnaud;FRA;;0.00;;;;;;;;;;;;0.00
612;DRENCAK Adam;SVK;;0.00;;;;;;;;;;;;0.00
613;POELZ Lukas;AUT;;0.00;;;;;;;;;;;;0.00
614;FISHER Saul;RSA;;0.00;;;;;;;;;;;;0.00
615;HANWEN Chung;MAS;;;;;;;;;;;;;0.00;0.00
615;AMOUSSOU Alphonse Carlos;BEN;;;;;;;;;;;;;0.00;0.00
615;LOKOSSOU Freud Max;BEN;;;;;;;;;;;;;0.00;0.00
615;HOUNHOUEDO Sessien Lionnel Francois D'assise;BEN;;;;;;;;;;;;;0.00;0.00
