RANK;ATHLETE;NATION;San Salvador A;Bratislava A;Espoo Helsinki A;Teheran A;Udine A;Bâle A;Göteborg A;Budapest A;Guatemala CHZ;Jerusalem CHZ;Le Caire CHZ;Amman CHZ;Plovdiv CHM;TOTAL
64;PAULOUSKI Dzianis;BLR;;0.00;;8.00;;;0.00;;;12.00;;;5.00;25.00
65;MAJGIER Sebastian;POL;;0.00;2.00;;;0.00;2.00;8.00;;3.00;;;10.00;25.00
66;MARSH Philip;GBR;;2.00;2.00;;;0.00;14.00;;;6.00;;;0.00;24.00
67;CHEREPAKHOV Mykyta;UKR;;14.00;2.00;;2.00;;;0.00;;6.00;;;0.00;24.00
68;MAUNZ Florian;GER;;2.00;;;2.00;8.00;0.00;;;12.00;;;0.00;24.00
69;FAVELA Ivann;MEX;;;;;;;0.00;2.00;21.00;;;;0.00;23.00
70;SANCHEZ-LETHEM Paul James;GBR;;0.00;8.00;;;4.00;0.00;;;6.00;;;5.00;23.00
71;AL HAMMADI Abdullah;UAE;;;;;;;;;;;;12.00;10.00;22.00
72;SCHROEDER Adam;RSA;;;;;;;;;;;21.00;;0.00;21.00
73;KE Yulong;CHN;;;;;;;;;;;;21.00;;21.00
74;ROGER Zacharie Herve;MAR;;0.00;;;0.00;0.00;;;;;21.00;;0.00;21.00
75;GU Xinyuan;CHN;;;;;;;;;;;;21.00;0.00;21.00
76;GONZALEZ Rodrigo;CHI;;;;;;;;;21.00;;;;;21.00
77;OZTUNC Omer Kaan;TUR;;;;20.00;;;;;;0.00;;;0.00;20.00
78;HENRIQUEZ ANDRES Manuel Rodrigo;ESA;14.00;;;;;;;;6.00;;;;;20.00
79;MARIN Otto;GUA;14.00;;;;;;;;6.00;;;;;20.00
80;NIESTROJ Daniel;POL;;2.00;2.00;;;14.00;2.00;0.00;;;;;;20.00
81;KAPALA Piotr;POL;;0.00;2.00;;;8.00;0.00;0.00;;0.00;;;10.00;20.00
82;NGUYEN Phuoc Den;VIE;;;;;;;;;;;;;20.00;20.00
83;JAUERNIK Christian;DEN;;0.00;2.00;14.00;;0.00;0.00;0.00;;3.00;;;0.00;19.00
84;BAYARD Alexis;SUI;;4.00;2.00;;2.00;0.00;8.00;0.00;;3.00;;;;19.00
85;COLE Joshua;USA;;;14.00;;;;4.00;;;;;;0.00;18.00
86;BONTES Tom;NED;;;;;;4.00;;4.00;;;;;10.00;18.00
87;NOVOTNY Ondrej;CZE;;0.00;;;0.00;2.00;0.00;0.00;;6.00;;;10.00;18.00
88;NARITA Ryosuke;JPN;;;;;0.00;;0.00;;;;;12.00;5.00;17.00
89;UYANIK Ozan;TUR;;;;8.00;;;;;;3.00;;;5.00;16.00
90;IBANEZ Alvaro;ESP;;4.00;;;0.00;0.00;4.00;2.00;;6.00;;;;16.00
91;CURRAN JONES Tomas;GBR;;2.00;2.00;;;2.00;4.00;;;6.00;;;;16.00
92;REGINSTER Gregoire;BEL;;2.00;2.00;;;0.00;0.00;4.00;;3.00;;;5.00;16.00
93;KUCHALSKI Tim;GER;;0.00;;;0.00;4.00;8.00;;;3.00;;;0.00;15.00
94;BIABIANY Mathias;FRA;;2.00;;;2.00;0.00;8.00;;;3.00;;;;15.00
95;GIANNOTTE Flavio;LUX;;0.00;0.00;;;2.00;0.00;0.00;;3.00;;;10.00;15.00
96;TORRES SANDI Daniel;CRC;14.00;;;;;;;;0.00;;;;;14.00
