RANK;ATHLETE;NATION;Luxembourg A;Manama A;Riga A;San Salvador A;Bratislava A;Bâle A;Espoo Helsinki A;Udine A;La Havane CHZ;Korat CHZ;Plovdiv CHZ;Yamoussoukro CHZ;Plovdiv CHM;TOTAL
61;EWART Stephen;USA;2.00;;0.00;;;;4.00;;;;;;20.00;26.00
62;VILLIGER Jori;SUI;0.00;14.00;1.00;;4.00;2.00;2.00;2.00;;;;;;25.00
63;D'AMICO Kristian;CZE;1.00;;4.00;;0.00;0.00;1.00;2.00;;;12.00;;5.00;25.00
64;TOTH Gergely;HUN;14.00;;2.00;;2.00;2.00;;4.00;;;;;;24.00
65;FERRE Loup-Yann;CAN;2.00;;0.00;;;;;;21.00;;;;0.00;23.00
66;BRADFORD Jack;USA;1.00;;0.00;;;;;;21.00;;;;;22.00
67;BUSCH Max;GER;2.00;;0.00;;1.00;4.00;2.00;1.00;;;12.00;;0.00;22.00
68;GAETANI Giulio;ITA;8.00;;1.00;;8.00;0.00;4.00;1.00;;;;;;22.00
69;CANZONERI Davide;ITA;;;2.00;;2.00;14.00;1.00;2.00;;;;;;21.00
70;NOROUZI Meysam;IRI;;;;;;;;;;21.00;;;;21.00
70;TIA Hans Calixte De Bre;CIV;;;;;;;;;;;;21.00;;21.00
72;CHUANG Po Yu;TPE;;;;;;;;;;21.00;;;;21.00
72;BEUGRE Bedi Paul Alex;CIV;;;;;;;;;;;;21.00;;21.00
74;VAN TONDER Johannes;RSA;;;;;;;;;;;;21.00;;21.00
74;SANCHEZ Aldo;MEX;;;;;;;;;21.00;;;;;21.00
76;REJEB Mohamed Ali;TUN;;;;;;;;;;;;21.00;;21.00
77;FRENCH Dylan;CAN;1.00;;;;;;;;;;;;20.00;21.00
78;SERTAY Yerlik;KAZ;;;;;;;4.00;;;12.00;;;5.00;21.00
79;HENRIQUEZ ANDRES Manuel Rodrigo;ESA;;;;20.00;;;;;;;;;;20.00
80;BUYANOV Georgiy;RUS;;;;;4.00;2.00;2.00;0.00;;;12.00;;0.00;20.00
81;LIMAREV Ivan;RUS;;;2.00;;4.00;4.00;1.00;8.00;;;;;;19.00
82;POSTMA Randy;NED;2.00;;;;0.00;4.00;;;;;3.00;;10.00;19.00
83;COOPER Matthew;GBR;4.00;;0.00;;;0.00;0.00;;;;12.00;;2.50;18.50
84;KNECHTL Lukas;AUT;;;0.00;;8.00;4.00;0.00;1.00;;;3.00;;2.50;18.50
