RANK;ATHLETE;NATION;San Salvador A;Bratislava A;Espoo Helsinki A;Teheran A;Udine A;Bâle A;Göteborg A;Budapest A;Ponce CHZ;Budapest CHZ;Porec CHM;TOTAL
313;CASARO Gianluca;ITA;;;;;0.00;;;;;;;0.00
316;BROOKE William;CAN;;;;;0.00;;;;;;;0.00
317;SABAN Vedran;CRO;;0.00;;;0.00;;;;;0.00;0.00;0.00
318;FAJKIS Krystian;POL;;;;;;0.00;0.00;;;;;0.00
319;ALAJMI Abdulhadi;KUW;;;;;;;;;;;0.00;0.00
320;RICHTER Arne;GER;;;;;0.00;0.00;0.00;;;;;0.00
321;TOSCANO-WESTMAN Erik;SWE;;0.00;0.00;;;;0.00;;;;;0.00
322;HAMOLINE Gautier;BEL;;0.00;0.00;;0.00;0.00;0.00;;;;;0.00
323;HORVATH Daniel;HUN;;0.00;;;0.00;;;0.00;;;;0.00
324;ZHAKUPOV Kirill;KAZ;;;;;;;0.00;0.00;;;;0.00
325;ALLIKSAAR Renee;EST;;0.00;0.00;;;;;;;;;0.00
326;PODOLSKYI Vladyslav;UKR;;;;;;;;0.00;;;;0.00
327;ROGNON Antoine;SUI;;;;;;0.00;0.00;;;;;0.00
328;SHOREY David;CAN;;;;;0.00;;0.00;;;;;0.00
329;SOLOMKO Fedor;RUS;;0.00;0.00;;;;;;;;;0.00
330;CONSTANTINESCU Ioan;ROU;;0.00;;;;;;0.00;;;;0.00
331;TRANDAFIRESCU Ionut;ROU;;0.00;0.00;;;;;0.00;;0.00;;0.00
332;UYANIK Ozan;TUR;;0.00;;;;;;0.00;;0.00;0.00;0.00
333;BUTA Levente;HUN;;;;;0.00;;;0.00;;;;0.00
334;YAMAZAKI Daichi;JPN;;;;;;;0.00;;;;;0.00
335;VAFIN Linar;RUS;;;;;;;;0.00;;;;0.00
336;FLATEN Adam Albrigtsen;NOR;;0.00;;;;;0.00;0.00;;;0.00;0.00
337;STASIUNAS Paulius;LTU;;;;;;;;;;0.00;;0.00
338;ESKOV Ruslan;EST;;;0.00;;;;0.00;;;0.00;;0.00
339;GOMEZ-JARENO Victor;ESP;;;;;0.00;;;;;;;0.00
340;MAMRENKO Alexey;RUS;;;0.00;;0.00;;;;;;;0.00
341;WERRING Cornelius;NOR;;0.00;0.00;;;;0.00;;;;;0.00
342;BRINKMANN Marco;GER;;;;;;;;0.00;;;;0.00
343;YEDILKANULY Darkhan;KAZ;;;;;;;0.00;0.00;;;0.00;0.00
344;GYORFFY Kristof;HUN;;;;;0.00;;;0.00;;;;0.00
345;FRENCH Dylan;CAN;;;;;;;0.00;;;;;0.00
346;DOLEJSI Marek;CZE;;0.00;;;;0.00;;0.00;;;;0.00
347;EKLUND Edvin;SWE;;0.00;0.00;;;;0.00;;;;;0.00
348;MAYER Maximilian;AUT;;0.00;0.00;;0.00;0.00;0.00;;;;;0.00
349;YOSHIZAWA Naoki;JPN;;;;;;;;;;;0.00;0.00
350;GRASBECK Gunnar;FIN;;0.00;0.00;;;0.00;0.00;;;0.00;0.00;0.00
351;PEPLOW Laurence;GBR;;;0.00;;0.00;;0.00;;;;;0.00
352;VAN NUNEN David;NED;;;;;;0.00;;;;;;0.00
353;BOLTON Matt;GBR;;0.00;0.00;;0.00;;0.00;;;;;0.00
354;KAPRAL Martin;SVK;;0.00;;;;;;0.00;;0.00;;0.00
355;EVSEEV Evgeniy;RUS;;0.00;0.00;;;;;;;;;0.00
356;BRADAC Petr;CZE;;0.00;;;;;;0.00;;;;0.00
357;SELOI Steeven;FRA;;0.00;;;;;;0.00;;;;0.00
358;SZLAMA Patryk;POL;;0.00;0.00;;;;;0.00;;;;0.00
359;GAUTHIER Romain;SUI;;;;;;0.00;;;;;;0.00
359;CANDIDA DE MATTEO Alberto;ITA;;;;;0.00;;;;;;;0.00
361;BARIONOVI Riccardo;ITA;;;;;;;0.00;;;;;0.00
361;ALKHUDHAIR Ebrahim Mahmoud;KUW;;;;;;;;;;;0.00;0.00
363;TSOKAS Nikolaos;GRE;;;;;;;;;;;0.00;0.00
363;KUMISA Matej;CRO;;;;;;;;;;0.00;;0.00
363;WORMAN Craig;GBR;;;;;0.00;;;;;;;0.00
366;ZMAUC-KVAR Ziga;SLO;;0.00;;;0.00;0.00;;0.00;;0.00;0.00;0.00
367;MARTINEZ RIVAS Diego;VEN;;;;;0.00;0.00;0.00;;;;;0.00
368;GARIFULLIN Emil;RUS;;;;;;;;0.00;;;;0.00
369;PUCHACHER Lukas;AUT;;0.00;;;0.00;;0.00;;;;;0.00
370;ISLAS FLYGARE Linus;SWE;;;;;;;0.00;;;;;0.00
371;VENCOVSKY Pavel;SVK;;0.00;0.00;;0.00;0.00;;0.00;;0.00;;0.00
372;WALKER Alec;USA;;;0.00;;;;;;;;;0.00
372;ZHANG Yu;CHN;;;;;;;;;;;0.00;0.00
374;YANEZ Adrian;ESP;;0.00;;;0.00;;0.00;0.00;;;;0.00
375;CARLES Antoni Manel;ESP;;;;;;;0.00;;;;;0.00
376;MILIC Milos;SRB;;0.00;;;0.00;;;;;;0.00;0.00
377;VALERIO Giancarlo;ITA;;;;;;0.00;0.00;;;;;0.00
378;LUND Jonas;NOR;;0.00;;;;;;;;;;0.00
378;FEDYNA Vlad;UKR;;;;;;;0.00;;;;;0.00
380;ADEL Abdelrahman;EGY;;;;;;;;0.00;;;0.00;0.00
381;JIMENEZ ORTIZ Moises Jose;VEN;;;0.00;;0.00;0.00;0.00;;;;;0.00
382;RASILE Lucio;ITA;;;;;;;0.00;;;;;0.00
383;MINKEVICIUS Lukas;LTU;;0.00;;;;;;;;0.00;0.00;0.00
384;PAOLI Stefano;SUI;;0.00;0.00;;0.00;0.00;0.00;;;;;0.00
385;GIL MARTINEZ Alvaro;ESP;;;0.00;;;0.00;0.00;;;;;0.00
386;CONEYS Ulysse;IRL;;;;;;;0.00;0.00;;;;0.00
387;EPURESCU Andrei;ROU;;0.00;;;;;;;;;;0.00
387;NEUMEYER Justin;CAN;;;;;0.00;;;;;;;0.00
387;NGUYEN Phuoc Den;VIE;;;;;;;;;;;0.00;0.00
390;DAMAS LOPEZ Jean Franco;VEN;;0.00;;;0.00;0.00;0.00;;;;;0.00
391;AAGENAES Haakon;NOR;;0.00;0.00;;;;;0.00;;;;0.00
392;MATHIS Kei;SUI;;;;;;0.00;;;;;;0.00
392;BIELEC Maciej;POL;;;;;;;;0.00;;;;0.00
394;LUGO Grabiel;VEN;;;;;0.00;0.00;;;;;;0.00
395;RAPP Guillaume;SUI;;0.00;0.00;;;0.00;;;;;;0.00
396;SVETOSLAVOV Sava;BUL;;0.00;;;;;;;;;0.00;0.00
397;FAERBER Stephan;SUI;;0.00;0.00;;0.00;0.00;0.00;0.00;;;;0.00
398;MIELNICZEK Ignacy;POL;;0.00;0.00;;;;;;;;;0.00
399;MIRONOV Amir;ISR;;0.00;;;;;0.00;;;;;0.00
400;WILLEMO Jakob;SWE;;0.00;;;;;0.00;;;;;0.00
401;SADOUN Mokhtar;ALG;;;;;;;;;;;0.00;0.00
402;NIESTROJ Daniel;POL;;0.00;0.00;;;;;0.00;;;;0.00
403;WONG Kevin;HKG;;;;;;;;;;;0.00;0.00
404;CIPRIANI Jean-Baptiste;FRA;;0.00;;;;0.00;;;;;;0.00
405;ANTONYUK Pavlo;UKR;;;;;;;0.00;;;;;0.00
406;MAYALL-VANDERVELDE Henry;AUS;;;;;;0.00;0.00;;;;0.00;0.00
407;PAVEL Claudiu Marian;ROU;;;;;0.00;;;;;;;0.00
408;RENZO Guglielmo;ITA;;;0.00;;0.00;;;;;;;0.00
409;DABIJA Adrian;ROU;;0.00;;;;;;0.00;;;;0.00
410;ERIKSEN Kai Haakon;NOR;;0.00;0.00;;;;0.00;0.00;;;0.00;0.00
411;CALUWAERTS Ruben;BEL;;;;;0.00;0.00;;;;;;0.00
412;LEBEDEV Eduard;EST;;0.00;0.00;;;;0.00;0.00;;;;0.00
413;KOLARIC Jovan;SRB;;;;;;;;;;;0.00;0.00
414;TATAROGLU Berk;TUR;;0.00;;;;0.00;;;;;;0.00
415;CETIC Danilo;SRB;;0.00;;;;;;0.00;;;;0.00
416;PRISTERA Mattia;ITA;;;;;0.00;;;0.00;;;;0.00
417;FARMER Alexander Bryan;SVK;;0.00;;;;;;;;;;0.00
417;SATKAUSKAS Kasparas;LTU;;;;;;;;;;;0.00;0.00
419;MALLO Robin;FRA;;;;;;;;0.00;;;;0.00
419;CHEUNG Hoi Long;HKG;;;;;;;;;;;0.00;0.00
421;RODRIGUEZ DIAZ Juan Luis;VEN;;;0.00;;0.00;0.00;;;;;;0.00
422;GAECHTER Flurin;SUI;;;;;0.00;0.00;0.00;0.00;;;;0.00
423;FRANK Adam;USA;;;;;0.00;;;;;;;0.00
424;PAAVOLAINEN Jaakko;FIN;;;0.00;;;;;;;;;0.00
424;CHEN Zachary Yi;SGP;;;;;;;;;;;0.00;0.00
426;LAPPALAINEN Pauli;FIN;;;0.00;;;;;;;;;0.00
426;COMITO Davide;ITA;;;;;;;0.00;;;;;0.00
428;RAYNIS Jake;USA;;0.00;;;;;;;;;;0.00
428;POZDNYAKOV Maxim;ISR;;;;;;;0.00;;;;;0.00
430;FRIEDL Fabian;AUT;;;;;0.00;0.00;;;;;;0.00
431;VALERO Francisco Jose;ESP;;0.00;;;;;0.00;;;;;0.00
432;ANIES Filip;SWE;;;0.00;;;;0.00;;;;;0.00
433;SZABO Bence;HUN;;;;;;;;0.00;;;;0.00
433;ALI Mohamed;BRN;;;;;;;;;;;0.00;0.00
433;KNECHTL Lukas;AUT;;;;;;;;0.00;;;;0.00
433;KRANABET Rego;HUN;;;;;;;;0.00;;;;0.00
437;SEFULARO Keith Manyaneyane;RSA;;;;;;;;;;;0.00;0.00
437;STEINBOCK Simon;SWE;;;;;;;0.00;;;;;0.00
439;LEE Samuel;SGP;;;;;;;;;;;0.00;0.00
440;BOGDANOV Alexander;ISR;;0.00;;;0.00;;;;;;;0.00
441;CAMPILL Marco;LUX;;0.00;0.00;;;0.00;0.00;0.00;;;;0.00
442;GREALEY William;GBR;;0.00;0.00;;;;;;;;;0.00
443;HOWITT Andrew;RSA;;;;;;;;;;;0.00;0.00
443;MATKERIMOV Nazarbek;KGZ;;;;;;;;;;;0.00;0.00
445;MAYORAL USCATEGUI Pablo;VEN;;;;;;0.00;0.00;;;;;0.00
446;FABIAN Marcel;SVK;;0.00;;;;;;0.00;;;;0.00
447;CONSTANTIN Lucas;SUI;;;;;;0.00;;;;;;0.00
448;SUNDBYE Richard;SWE;;0.00;;;;;0.00;;;;;0.00
449;GENTY Maximilien;FRA;;;;;;0.00;;;;;;0.00
449;MORALES Ramiro;URU;;;;;;;;;;;0.00;0.00
451;PONNET Robin;BEL;;;;;;0.00;;;;;;0.00
451;KOEN Riekert;RSA;;;;;;;;;;;0.00;0.00
451;PIZENBERG Jacob;ISR;;;;;;;0.00;;;;;0.00
451;VOZAR Balazs;HUN;;;;;;;;0.00;;;;0.00
455;RADELET Kevin;BEL;;0.00;0.00;;;0.00;0.00;;;;;0.00
456;CIPAR Jan;SVK;;0.00;;;;;0.00;;;;;0.00
457;NURMATOV Javokhirbek;UZB;;;;;;;;;;;0.00;0.00
458;ASSIS Gabriel;BRA;;;;;;;;;;;0.00;0.00
459;MED Johan Andreas;NOR;;0.00;;;;;0.00;0.00;;;0.00;0.00
460;BOURBAN Nigel;SUI;;;;;;0.00;0.00;;;;;0.00
461;AL AWSSI Hanibal;DEN;;;;;;;0.00;;;;;0.00
461;NEERGAARD Axel;FIN;;;0.00;;;;;;;;;0.00
461;MATHE Denes;HUN;;;;;;;;0.00;;;;0.00
464;CANING Klaus Albert;DEN;;0.00;0.00;;;;0.00;;;;;0.00
465;ZAYER Wajdi;TUN;;;;;;;;;;;0.00;0.00
466;ABDUVALIEV Temurbek;UZB;;;;;;;;;;;0.00;0.00
467;AYBERK Berke;TUR;;0.00;;;;0.00;;;;;;0.00
468;WRIGHT Joseph;CAN;;;;;;;0.00;;;;;0.00
468;KOPRA Henri;EST;;;0.00;;;;;;;;;0.00
470;GASCON Willian;VEN;;0.00;;;;;;0.00;;;;0.00
471;VESANEN Niklas;FIN;;;0.00;;;;;;;;;0.00
472;KRAUS Peter;SVK;;0.00;;;0.00;;;0.00;;;;0.00
473;BELO Joao;POR;;0.00;0.00;;;;;;;;;0.00
474;TOTH Gergely;HUN;;;;;;;;0.00;;;;0.00
474;KIS Mate;HUN;;;;;;;;0.00;;;;0.00
474;NASIRDINOV Abdulbosid;UZB;;;;;;;;;;;0.00;0.00
477;PERREAULT Emile;CAN;;;;;;;0.00;;;;;0.00
478;ABDRAKHMAN UULU Kubatbek;KGZ;;;;;;;;;;;0.00;0.00
478;STEVENS Joshua;GBR;;;0.00;;;;;;;;;0.00
478;MURAKOSHI Yuki;JPN;;;;;;;0.00;;;;;0.00
481;SIMPSON James;IRL;;0.00;0.00;;;0.00;0.00;0.00;;;;0.00
482;PARVANOV Bojidar;BUL;;0.00;;;;;;;;;0.00;0.00
483;PIREZ Miguel;ESP;;0.00;;;;;;;;;;0.00
484;JACKSON Alpha;COD;;;;;;;;;;;0.00;0.00
484;MAKWANYA Jeancy;COD;;;;;;;;;;;0.00;0.00
484;WALTER Noe;GER;;;;;;;;0.00;;;;0.00
484;ARENDS Austin Stephan Andreas;ARU;;;;;;;;;;;0.00;0.00
484;MONGWASSA MUKAWA Nathan;COD;;;;;;;;;;;0.00;0.00
489;FRAS Mieszko;POL;;0.00;0.00;;;;;0.00;;;;0.00
490;JOVCEVSKI Viktor;MKD;;;;;0.00;;;;;;;0.00
491;NAKAMURA Go;JPN;;;;;;;0.00;;;;;0.00
492;BERGH Casper;NOR;;;;;;;0.00;;;;;0.00
492;MICETA Lazar;SRB;;;;;;;;0.00;;;;0.00
492;HANSTEIN Meelis;EST;;;0.00;;;;;;;;;0.00
495;TAKEDA Jin;JPN;;;;;;;0.00;;;;;0.00
496;LINDE Johan;SWE;;0.00;0.00;;;;0.00;;;;;0.00
497;KIMFORS Anton;SWE;;;;;;;0.00;;;;;0.00
498;KOLEHMAINEN Hannes;FIN;;0.00;0.00;;;;;;;;;0.00
498;KAAKINEN Kimmo;FIN;;;0.00;;;;0.00;;;;;0.00
500;NEGRAIA Bogdan;ROU;;0.00;;;;;;;;;;0.00
500;WILHELMSON Axel Emil;FIN;;;0.00;;;;;;;;;0.00
500;ZABAWA Marek;POL;;;;;;;;0.00;;;;0.00
503;HEILMANN Falk;GER;;;;;;;;0.00;;;;0.00
504;MANUM Bendik Mogens;NOR;;;;;;;0.00;;;;;0.00
505;CARVALHO Francisco;POR;;0.00;0.00;;;;;;;;;0.00
506;BREMS Alexander;DEN;;;;;;;0.00;;;;;0.00
507;STASZULONEK Aleksander;POL;;0.00;;;;;;;;;;0.00
507;ANTTILA Santeri;FIN;;;0.00;;;;;;;;;0.00
507;LOTIES Meidhy;FRA;;0.00;;;;;;;;;;0.00
507;DYMYTRENKO Anton;UKR;;0.00;;;;;;;;;;0.00
507;DUMITRU Alexandru;ROU;;;;;;;;0.00;;;;0.00
512;LIMARDO Jesus;VEN;;0.00;;;;;;0.00;;;;0.00
513;SJOHOLM Mikko;FIN;;;0.00;;;;;;;;;0.00
514;FOGDE Oskar;FIN;;;0.00;;;;;;;;;0.00
515;SAADAWY Abd El Rahmen;EGY;;;;;;;;0.00;;;;0.00
515;CHEREDNICHENKO Dmitriy;RUS;;0.00;;;;;;;;;;0.00
517;VON BAGH Samuli;FIN;;;0.00;;;;;;;;;0.00
518;MLSNA Viktor;SVK;;0.00;;;;;;0.00;;;;0.00
519;SANTRAC Danilo;SRB;;;;;;;;0.00;;;;0.00
519;BAEKELANDT Maxime;BEL;;0.00;;;;;;;;;;0.00
521;VASILIAUSKAS Andrius;LTU;;0.00;;;;;;;;;;0.00
521;LATTEKIVI Mart;EST;;;0.00;;;;;;;;;0.00
523;SANSONE Matteo;ITA;;;;;;;0.00;;;;;0.00
524;NILSSON Erik;SWE;;;;;;;0.00;;;;;0.00
524;FENYVESI Csaba;HUN;;;;;;;;0.00;;;;0.00
526;JACK Thomas;FIN;;;0.00;;;;0.00;;;;;0.00
527;BOCKO Matus;SVK;;0.00;;;;;;0.00;;;;0.00
527;TAMMOJA Mike;EST;;;0.00;;;;0.00;;;;;0.00
529;NASZKOWSKI Kamil;POL;;0.00;;;;;;;;;;0.00
530;TRUMMAL Tarmo;EST;;0.00;0.00;;;;0.00;;;;;0.00
531;OROS Robert;ROU;;;;;;;;0.00;;;;0.00
531;ANDRASI Adrian;SVK;;0.00;;;;;;;;;;0.00
531;RAZ Ori;ISR;;;;;;;0.00;;;;;0.00
534;VEGAS Borja;ESP;;;0.00;;;;;;;;;0.00
534;KORHONEN Aapo;FIN;;;0.00;;;;;;;;;0.00
534;ALMASI Bence;HUN;;;;;;;;0.00;;;;0.00
537;SALEH Saleh;EGY;;;;;;;;0.00;;;;0.00
537;MAHRINGER Josef;AUT;;;;;;;0.00;;;;;0.00
539;TANIGUCHI Takuya;JPN;;;;;;;0.00;;;;;0.00
539;BONTES Joris;NED;;;0.00;;;;;;;;;0.00
541;KULT Pavel;CZE;;0.00;;;;;;0.00;;;;0.00
542;VINNICKY Ariel;ISR;;0.00;;;;;;;;;;0.00
543;CADIGNAN CORMIER Stanjik;FRA;;0.00;;;;;;;;;;0.00
544;COHEN Yacov;ISR;;0.00;;;;;0.00;;;;;0.00
545;RAMOS Angel;VEN;;0.00;;;;;;0.00;;;;0.00
546;EDIN Joakim;NOR;;0.00;;;;;0.00;;;;;0.00
547;EGERTZ-SKAANES Lukas;SWE;;;;;;;0.00;;;;;0.00
548;KARLSEN Knut Martin;NOR;;;;;;;0.00;;;;;0.00
548;KORKH Sergey;RUS;;0.00;;;;;;;;;;0.00
548;TKACHUK Leontii;UKR;;;;;;;0.00;;;;;0.00
551;AMENDOLA Vittorio;ITA;;;;;;;0.00;;;;;0.00
552;STEINBOCK Daniel;SWE;;;;;;;0.00;;;;;0.00
553;TANG Arvid;SWE;;;;;;;0.00;;;;;0.00
554;CORCORAN Geoffrey;IRL;;;;;;;0.00;;;;;0.00
555;WANG Qifan;CAN;;;;;;;0.00;;;;;0.00
556;KNUDSEN Kenneth;DEN;;;;;;;0.00;;;;;0.00
556;MESTDAGH Frederic;BEL;;0.00;;;;;;;;;;0.00
558;FABRICIUS-RAHBEK Ditlev;DEN;;;;;;;0.00;;;;;0.00
559;STYMNE Jakob;SWE;;;;;;;0.00;;;;;0.00
559;UTNE Bendik;NOR;;;;;;;0.00;;;;;0.00
561;KAWAKITA Shinkai;JPN;;;;;;;0.00;;;;;0.00
562;FRAPPIER Dominique;LUX;;;;;;;0.00;;;;;0.00
562;MANCEWICZ Bartlomiej;SWE;;;;;;;0.00;;;;;0.00
564;FJERMESTAD Tord;NOR;;;;;;;0.00;;;;;0.00
564;SHIRAISHI Tomoya;JPN;;;;;;;0.00;;;;;0.00
564;SOLVHAMMAR Isak;SWE;;;;;;;0.00;;;;;0.00
567;ONO Masahide;JPN;;;;;;;0.00;;;;;0.00
568;WELFRINGER Max;LUX;;;;;;;0.00;;;;;0.00
569;ARIAS-OLSSON Felix;SWE;;;;;;;0.00;;;;;0.00
569;HANESZ Zoltan;SVK;;0.00;;;;;;;;;;0.00
569;SORIO Umberto;ITA;;;;;;;0.00;;;;;0.00
572;HOSKOVEC Vaclav;CZE;;0.00;;;;;;;;;;0.00
573;DUDUC Alex;SVK;;0.00;;;;;;;;;;0.00
573;KROHN Otthar Andreas;NOR;;;;;;;0.00;;;;;0.00
575;WAHLGREN Rasmus;SWE;;;;;;;0.00;;;;;0.00
576;NISHIMORI Kenta;JPN;;;;;;;0.00;;;;;0.00
576;SIMON Rafael;NOR;;;;;;;0.00;;;;;0.00
578;OLSEN Johannes Kristian;DEN;;;;;;;0.00;;;;;0.00
578;SHITRIT Ron;ISR;;;;;;;0.00;;;;;0.00
580;SANO Takatoshi;JPN;;;;;;;0.00;;;;;0.00
581;FAGELL Maximilian;SWE;;;;;;;0.00;;;;;0.00
582;HJORVARD Lukas;SWE;;;;;;;0.00;;;;;0.00
583;HRBAN Jakub;SVK;;0.00;;;;;;;;;;0.00
584;ILLE Simon;SVK;;0.00;;;;;;;;;;0.00
585;KRAUS Daniel;SVK;;0.00;;;;;;;;;;0.00
586;HESSLEGRAVE Porter;USA;;0.00;;;;;;;;;;0.00
587;WOLD Marius;NOR;;0.00;;;;;;;;;;0.00
588;BROGYANYI Martin;SVK;;0.00;;;;;;;;;;0.00
589;MILCHEV Alexander;BUL;;0.00;;;;;;;;;;0.00
589;PECANAC Slobodan;SRB;;0.00;;;;;;;;;;0.00
591;KOSE Burak Can;TUR;;0.00;;;;;;;;;;0.00
591;MICHALIK Samuel;SVK;;0.00;;;;;;;;;;0.00
