RANK;ATHLETE;NATION;San Salvador A;Bratislava A;Espoo Helsinki A;Teheran A;Udine A;Bâle A;Göteborg A;Budapest A;Ponce CHZ;Budapest CHZ;Porec CHM;TOTAL
56;GUSEV Dmitriy;RUS;;2.00;0.00;;8.00;2.00;;2.00;;6.00;;20.00
57;SYCH Yan;UKR;;0.00;0.00;;8.00;;;2.00;;0.00;10.00;20.00
58;YAMADA Masaru;JPN;;;;;;;;;;;20.00;20.00
59;SANCHEZ RODRIGUEZ Guillermo;ESP;;0.00;2.00;;;;4.00;8.00;;6.00;0.00;20.00
60;MELLANEN Rasmus;FIN;;0.00;2.00;;;4.00;4.00;2.00;;3.00;5.00;20.00
61;SWIRIDOW Anton;GER;;0.00;;;2.00;14.00;0.00;;;3.00;;19.00
62;SCALZO Giacomo;ITA;;0.00;14.00;;0.00;4.00;0.00;0.00;;;;18.00
63;HUDSON Jack;GBR;;0.00;;;0.00;;8.00;;;;10.00;18.00
64;JAUERNIK Christian;DEN;;4.00;0.00;4.00;;;4.00;;;6.00;0.00;18.00
65;DRIZIN Ariel;ISR;;2.00;;;;;2.00;;;3.00;10.00;17.00
66;MCGRATH Matthew Garrett;USA;;0.00;14.00;;;;2.00;;;;;16.00
67;RIDLEY Sam;GBR;;0.00;8.00;;;;2.00;;;6.00;0.00;16.00
68;DANILEJKO Maxim;GER;;0.00;;;2.00;2.00;4.00;8.00;;;;16.00
69;CHO TAEUN Sandor;HUN;;8.00;;;;;;8.00;;;;16.00
70;ANIL Murtaza Berkan;TUR;;0.00;;8.00;;0.00;;0.00;;3.00;5.00;16.00
71;MAJGIER Sebastian;POL;;0.00;0.00;;;0.00;4.00;4.00;;3.00;5.00;16.00
72;SHEPARD Conor;USA;;2.00;;;;;8.00;;;;5.00;15.00
73;TARANENKO Yuriy;UKR;;2.00;2.00;;4.00;0.00;0.00;4.00;;3.00;;15.00
74;STALDER Leonard;SUI;;0.00;0.00;;14.00;0.00;0.00;0.00;;;;14.00
75;KANANI Amir Reza;IRI;;;;14.00;;;;;;;0.00;14.00
76;ALFUDARI Hasan;KUW;;;;14.00;;;;;;;0.00;14.00
77;CISNEROS RIZO Oscar Eliezer;NCA;14.00;;;;;;;;;;;14.00
78;SANABRIA SANABRIA Daniel;CRC;14.00;;;;;;;;;;;14.00
79;MOHSIN Abbas Abdulwahid;IRQ;;;;14.00;;;;;;;;14.00
79;TORRES SANDI Daniel;CRC;14.00;;;;;;;;;;;14.00
81;ZERBIB Ken-Elie;FRA;;2.00;;;;4.00;0.00;8.00;;;;14.00
82;ABRAMIUK Danil;RUS;;8.00;0.00;;4.00;0.00;;2.00;;;;14.00
83;RUSSO Andrea;ITA;;;;;2.00;2.00;8.00;2.00;;;;14.00
84;RODRIGUES Luiz;BRA;;;;;;0.00;2.00;0.00;12.00;;0.00;14.00
85;CIOVICA Lucian;ROU;;2.00;4.00;;;;;0.00;;3.00;5.00;14.00
86;NEMTYREV Konstantin;RUS;;;2.00;;4.00;4.00;;4.00;;;;14.00
87;HARTMANN Florian;AUT;;0.00;0.00;;2.00;0.00;4.00;0.00;;3.00;5.00;14.00
88;MORADI Behdad;IRI;;;;8.00;;;;;;;5.00;13.00
89;CURRAN JONES Tomas;GBR;;2.00;2.00;;2.00;;2.00;;;0.00;5.00;13.00
90;ROTHFELD Andre;BRA;;;;;;;;;12.00;;0.00;12.00
91;VUJTECH Jakub;CZE;;0.00;0.00;;4.00;0.00;8.00;0.00;;0.00;;12.00
92;DE GUZMAN Inaki;USA;;;;;;;;;12.00;;;12.00
93;VELESTUK Isaac;CAN;;;;;;;0.00;;12.00;;;12.00
94;NICKEL Heinz;CHI;;;;;;;;;12.00;;0.00;12.00
95;PITTET Alexandre;SUI;;0.00;0.00;;0.00;4.00;8.00;0.00;;;;12.00
96;HEIDECKER Philippe;CAN;;;;;;;;;12.00;;;12.00
97;LOZANO Michael;COL;;;;;;;;;12.00;;0.00;12.00
98;MAUNZ Florian;GER;;0.00;;;0.00;8.00;2.00;2.00;;;;12.00
99;RODRIGUEZ Luis Rafael;DOM;;;;;;;;;12.00;;;12.00
100;HAMAR Balazs;HUN;;2.00;0.00;;2.00;4.00;;4.00;;;;12.00
101;KAEPPELER Dominik;GER;;4.00;;;4.00;0.00;4.00;0.00;;;;12.00
102;STANKEVYCH Volodymyr;UKR;;4.00;;;;4.00;2.00;2.00;;;;12.00
103;ADAIKIN Dmitriy;KAZ;;;;;;;0.00;2.00;;;10.00;12.00
104;DE WIJN Zoa;NED;;;8.00;;;0.00;0.00;0.00;;3.00;0.00;11.00
105;PARISSE Olivier;BEL;;0.00;8.00;;0.00;0.00;0.00;;;3.00;0.00;11.00
106;STEIS Lukas;SVK;;2.00;2.00;;0.00;4.00;;0.00;;3.00;0.00;11.00
107;NAUMOV Sergey;RUS;;0.00;4.00;;2.00;;;0.00;;0.00;5.00;11.00
108;RUBES Martin;CZE;;0.00;;;;0.00;0.00;;;6.00;5.00;11.00
109;BONADEI Davide;ITA;;8.00;;;2.00;0.00;;;;;;10.00
