1	26
2	2
3	7
4	4
5	40
6	5
7	3
8	112
9	12
10	1
11	6
12	57
13	14
14	17
15	24
16	13
1	1
2	11
3	100
4	21
5	98
6	40
7	103
8	101
9	22
10	12
11	53
12	18
13	68
14	10
15	5
16	84
1	1
2	4
3	33
4	10
5	99
6	57
7	7
8	48
9	11
10	63
11	28
12	9
13	44
14	6
15	130
16	3
1	76
2	94
3	1
4	85
5	13
6	89
7	2
8	33
9	28
10	4
11	18
12	34
13	14
14	7
15	3
16	57
1	13
2	7
3	35
4	18
5	118
6	21
7	31
8	33
9	11
10	10
11	43
12	49
13	203
14	85
15	4
16	136
1	2
2	3
3	9
4	37
5	56
6	42
7	5
8	4
9	76
10	20
11	25
12	10
13	28
14	33
15	22
16	35
1	4
2	1
3	3
4	5
5	6
6	73
7	2
8	107
9	44
10	33
11	45
12	206
13	24
14	21
15	86
16	35
1	8
2	9
3	120
4	43
5	50
6	27
7	1
8	19
9	24
10	3
11	44
12	87
13	22
14	30
15	75
16	36
1	10
2	2
3	75
4	41
5	19
6	33
7	81
8	42
9	120
10	89
11	166
12	77
13	35
14	38
15	164
16	3
1	1
2	6
3	21
4	35
5	7
6	9
7	17
8	11
9	55
10	19
11	43
12	54
13	69
14	3
15	40
16	46
1	1
2	3
3	19
4	17
5	12
6	13
7	65
8	18
9	70
10	15
11	34
12	7
13	33
14	118
15	79
16	64
1	17
2	22
3	9
4	1
5	87
6	42
7	6
8	15
9	49
10	4
11	86
12	66
13	131
14	7
15	48
16	137
1	1
2	26
3	5
4	65
5	11
6	31
7	24
8	2
9	15
10	17
11	141
12	12
13	55
14	18
15	79
16	10
1	1
2	26
3	113
4	4
5	22
6	10
7	42
8	77
9	5
10	17
11	120
12	149
13	9
14	180
15	35
16	153
1	5
2	33
3	2
4	1
5	83
6	11
7	56
8	35
9	17
10	10
11	98
12	117
13	69
14	22
15	44
16	38
1	3
2	89
3	65
4	30
5	5
6	2
7	76
8	10
9	62
10	1
11	7
12	41
13	17
14	90
15	115
16	22
1	34
2	15
3	24
4	89
5	17
6	33
7	4
8	68
9	39
10	1
11	62
12	38
13	3
14	13
15	6
16	42
1	13
2	80
3	6
4	77
5	67
6	92
7	8
8	66
9	11
10	14
11	17
12	19
13	7
14	43
15	35
16	45
1	1
2	15
3	48
4	34
5	6
6	9
7	2
8	4
9	18
10	8
11	56
12	29
13	16
14	86
15	100
16	7
1	4
2	1
3	48
4	12
5	19
6	28
7	75
8	83
9	27
10	50
11	9
12	17
13	115
14	87
15	23
16	74
1	22
2	8
3	9
4	68
5	2
6	48
7	1
8	12
9	44
10	33
11	11
12	28
13	140
14	151
15	14
16	27
1	10
2	1
3	77
4	6
5	67
6	50
7	12
8	47
9	11
10	42
11	34
12	38
13	82
14	8
15	74
16	3
1	27
2	38
3	1
4	15
5	11
6	3
7	88
8	4
9	32
10	19
11	45
12	60
13	92
14	21
15	53
16	74
1	5
2	14
3	18
4	74
5	16
6	6
7	41
8	1
9	122
10	75
11	26
12	83
13	27
14	47
15	66
16	42
1	3
2	21
3	82
4	5
5	6
6	7
7	9
8	22
9	63
10	15
11	17
12	36
13	18
14	24
15	11
16	2
1	5
2	9
3	6
4	30
5	93
6	68
7	21
8	40
9	51
10	49
11	3
12	66
13	20
14	27
15	124
16	141
1	2
2	1
3	13
4	42
5	88
6	25
7	40
8	66
9	5
10	67
11	3
12	41
13	23
14	19
15	33
16	12
1	6
2	1
3	33
4	29
5	63
6	2
7	11
8	36
9	21
10	19
11	20
12	3
13	17
14	51
15	56
16	9
1	12
2	40
3	6
4	10
5	24
6	22
7	7
8	48
9	26
10	5
11	43
12	2
13	28
14	33
15	52
16	18
1	5
2	18
3	33
4	27
5	12
6	46
7	20
8	15
9	37
10	10
11	28
12	23
13	3
14	2
15	1
16	6
1	6
2	14
3	31
4	34
5	18
6	63
7	2
8	11
9	10
10	82
11	1
12	77
13	16
14	24
15	8
16	21
1	4
2	17
3	13
4	10
5	11
6	23
7	8
8	12
9	34
10	50
11	72
12	75
13	37
14	20
15	3
16	6
1	1
2	44
3	33
4	2
5	5
6	39
7	11
8	79
9	10
10	38
11	17
12	31
13	30
14	3
15	21
16	14
1	13
2	2
3	105
4	8
5	18
6	34
7	5
8	33
9	28
10	85
11	45
12	1
13	22
14	21
15	6
16	35
1	43
2	11
3	35
4	22
5	2
6	44
7	14
8	36
9	113
10	54
11	3
12	37
13	4
14	9
15	1
16	105
1	5
2	10
3	24
4	9
5	11
6	1
7	17
8	33
9	21
10	4
11	3
12	48
13	34
14	26
15	15
16	30
1	9
2	6
3	65
4	122
5	21
6	1
7	76
8	17
9	71
10	12
11	7
12	24
13	10
14	4
15	25
16	13
1	8
2	6
3	4
4	7
5	3
6	65
7	1
8	75
9	41
10	30
11	33
12	13
13	2
14	52
15	51
16	14
1	5
2	2
3	1
4	3
5	9
6	17
7	10
8	21
9	19
10	13
11	26
12	51
13	30
14	6
15	59
16	18
1	85
2	43
3	36
4	9
5	6
6	1
7	8
8	50
9	5
10	46
11	67
12	88
13	110
14	21
15	2
16	19
1	4
2	50
3	3
4	2
5	1
6	6
7	8
8	9
9	13
10	34
11	55
12	58
13	42
14	30
15	74
16	47
1	27
2	12
3	9
4	17
5	21
6	10
7	39
8	6
9	75
10	8
11	5
12	26
13	48
14	1
15	13
16	67
1	54
2	62
3	10
4	3
5	1
6	21
7	4
8	128
9	9
10	60
11	5
12	11
13	37
14	15
15	36
16	6
1	5
2	17
3	2
4	91
5	23
6	36
7	1
8	13
9	57
10	26
11	4
12	69
13	34
14	67
15	19
16	42
1	1
2	29
3	26
4	2
5	52
6	30
7	17
8	23
9	35
10	44
11	19
12	18
13	75
14	66
15	3
16	25
1	19
2	36
3	1
4	33
5	47
6	24
7	21
8	2
9	23
10	38
11	14
12	48
13	35
14	10
15	44
16	67
1	19
2	1
3	34
4	46
5	5
6	22
7	6
8	117
9	33
10	38
11	78
12	2
13	83
14	8
15	11
16	55
1	4
2	1
3	9
4	3
5	7
6	14
7	10
8	2
9	39
10	30
11	5
12	13
13	38
14	24
15	69
16	33




