RANK;ATHLETE;NATION;San Salvador A;San-Juan A;Luxembourg A;Burgos A;Udine A;Maalot A;Bratislava A;Dijon A;Alger CHZ;Foggia CHZ;Bogota CHZ;Amman CHZ;TORUN CHM;TOTAL
329;BOUILLANT Audrey;SUI;;;;1.00;;;;;;;;;;1.00
330;WETZKER Laura Katalin;HUN;;;;;;;;1.00;;;;;;1.00
331;PINIER Clementine;FRA;;;;;;;;1.00;;;;;;1.00
332;ZABOLOTNA Daryna;UKR;;;;;1.00;;0.00;;;;;;;1.00
333;GREPPI Sara;ESP;;;;;;;;1.00;;;;;;1.00
334;FOXWELL-MOSS Taylor;GBR;;;0.00;0.00;1.00;;;;;;;;;1.00
335;KIRCHNER Emma;SVK;;;;1.00;0.00;;0.00;;;;;;;1.00
336;SULEJ Zuzanna;POL;;;0.50;0.50;;;0.00;;;;;;;1.00
337;ENACHE Talida;ROU;;;;0.50;;;0.50;;;;;;;1.00
338;GALLINA Giordana;ITA;;;;0.50;0.00;;0.50;;;;;;;1.00
339;WATKINS Abigail;GBR;;;0.00;0.25;0.50;;0.00;0.00;;;;;;0.75
340;ZHDANOVICH Maria;AUS;;;;0.25;0.50;;;;;;;;;0.75
341;SAAVALAINEN Hannah;FIN;;;;0.50;;;0.00;;;0.00;;;0.00;0.50
342;BOURREAU Agathe;FRA;;;;;;;;0.50;;;;;;0.50
343;SJURSETH Isolde;SWE;;;;0.50;;;;;;;;;;0.50
344;OIEN Jacqueline;GBR;;;0.00;0.50;;;;;;;;;;0.50
345;CHAU Lina Soleya;FRA;;;;;;;;0.50;;;;;;0.50
346;GROTA Emanuela;BRA;;;;;;;;0.50;;;;;;0.50
347;BISHOP Catherine;GBR;;;0.50;;0.00;;0.00;0.00;;;;;;0.50
348;KAZMINA Polina;RUS;;;;;0.00;;;0.50;;;;;;0.50
349;STEURBAUT Romane;BEL;;;0.50;0.00;;;0.00;;;;;;;0.50
350;STELLA Sophia Eloisa;ITA;;;;;0.50;;;;;;;;;0.50
351;SU Nicole;CAN;;;0.50;;;;;;;;;;;0.50
352;REPANATI Benedetta;ITA;;;;;0.50;;;;;;;;;0.50
353;MAYR Franziska;GER;;;0.00;0.00;;;0.50;;;;;;;0.50
354;CONSTANTINESCU Cristina;ROU;;;;;;;0.50;;;;;;;0.50
355;SEMIANNIKOV Elianna;ISR;;;;0.50;;;;;;;;;;0.50
356;SAITO Hana;JPN;;;;0.50;;;0.00;;;;;;;0.50
357;IBANEZ Celia;ESP;;;;0.50;;;;;;;;;;0.50
358;KARIMOVA Almira;RUS;;;;;;;0.50;;;;;;;0.50
359;REMESAL Ana;ESP;;;;0.00;;;0.50;;;;;;;0.50
360;ISIDRO Alba;ESP;;;;0.25;;;0.25;;;;;;;0.50
361;LOBERA Teresa;ESP;;;;0.00;;;0.25;;;0.00;;;;0.25
362;CABIT Clementine;FRA;;;;;;;0.25;0.00;;;;;;0.25
363;SUCHKOVA Maria;RUS;;;;0.25;;;;0.00;;;;;;0.25
364;HAIDAI Lyudmila;UKR;;;;;0.00;;0.25;;;;;;;0.25
365;RAPOSO Dana;ESP;;;;0.25;0.00;;;;;;;;;0.25
366;OLAYA Astrid;PER;;;;0.25;;;;;;;;;;0.25
367;KUZMICH Aliaksandra;BLR;;;;;;;0.25;;;;;;0.00;0.25
368;KANEKI Manaka;JPN;;;;;;;0.25;;;;;;;0.25
369;STEWART Alex;GBR;;;;0.25;;;;;;;;;;0.25
370;DZEKEVICH Katsiaryna;BLR;;;;;;;0.25;;;;;;;0.25
371;TORRENTE Lucia;ESP;;;;0.00;;;0.25;;;;;;;0.25
372;PANEDA Victoria;ESP;;;;0.25;;;;;;;;;;0.25
373;KNAPIK Katarzyna;POL;;;;;;;0.25;;;;;;;0.25
374;FAN Yun-Cian;TPE;;;;0.25;;;;;;;;;;0.25
375;ERMAN Lal;TUR;;;;;;;0.25;;;;;;;0.25
375;ARRIBAS Claudia;ESP;;;;0.25;;;;;;;;;;0.25
377;TRABADA Gracia;ESP;;;;0.25;;;0.00;;;;;;;0.25
378;CHOI Garam;KOR;;;;0.25;;;;;;;;;;0.25
378;LIXANDRU Nicole;ESP;;;;0.25;;;;;;;;;;0.25
380;HERAS Lucia;ESP;;;;0.25;;;;;;;;;;0.25
381;BOULANDIER Maria;ESP;;;;0.25;;;0.00;;;;;;;0.25
382;JADCZAK Dominika;POL;;;;0.25;;;;;;;;;;0.25
383;THERA Mariam;MLI;;;;;;;;;0.00;;;;;0.00
383;MOLINA CERON Cesia Merari;ESA;0.00;;;;;;;;;;;;;0.00
385;WONAME Kelsey Victoria Afriyie;GHA;;;;;;;;;0.00;;;;;0.00
385;PORTILLO LOPEZ Marcela Tais;ESA;0.00;;;;;;;;;;;;;0.00
387;RIVERA BELTRAN Jennifer Alexandra;ESA;0.00;;;;;;;;;;;;;0.00
387;COULIBALY Diakassa;MLI;;;;;;;;;0.00;;;;;0.00
389;DJIBA Seyni Fatou;SEN;;;;;;;;;0.00;;;;;0.00
390;MANE Khadidiatou;SEN;;;;;;;;;0.00;;;;;0.00
391;AVENDANO Daniela;MEX;;;;;;;;;;;0.00;;;0.00
392;RODRIGUEZ Cindy;VEN;;;;;;;;;;;0.00;;;0.00
393;NAHAPETYAN Datev;ARG;;;;;;;;;;;0.00;;;0.00
394;VIVEROS MENDOZA Andrea Giuliana;PAR;;;;;;;;;;;0.00;;;0.00
395;CARRILLO Nicolle;PER;;;;;;;;;;;0.00;;;0.00
396;MANON Ana;DOM;;;;;;;;;;;0.00;;;0.00
397;NISHIWAKI Arisa;JPN;;0.00;;;;;;;;;;;;0.00
398;JAEN SANTOS Ana Mercedes;PAN;;;;;;;;;;;0.00;;;0.00
399;CARRERA Keren;PAN;;;;;;;;;;;0.00;;;0.00
400;PACHECO LUGO Valeria Sophia;PUR;;0.00;;;;;;;;;;;;0.00
401;ARMSTRONG CRUZ Milyvette Marie;PUR;;0.00;;;;;;;;;;;;0.00
402;VAINBERG Sophia;ISR;;;;;;0.00;;;;;;;;0.00
403;DIAZ RIOS Bibiana;PUR;;0.00;;;;;;;;;;;;0.00
403;KIRSCHNER Ziv;ISR;;;;;;0.00;;;;;;;;0.00
405;ZELENOV Maria;ISR;;;;;;0.00;;;;;;;;0.00
405;ROBLES VEGA Carla Paola;PUR;;0.00;;;;;;;;;;;;0.00
407;VERTMAN Elizaveta;ISR;;;;;;0.00;;;;;;;;0.00
407;RAMOS COLON Samara;PUR;;0.00;;;;;;;;;;;;0.00
409;ZINGERMAN Daniel;ISR;;;;;;0.00;;;;;;;;0.00
410;KREYNITZ Karin;ISR;;;;;;0.00;;;;;;;;0.00
411;MIKHAILOV Lotan;ISR;;;;;;0.00;;;;;;;;0.00
411;OSSIPOV Viki;ISR;;;;;;0.00;;;;;;;;0.00
413;SHARIF Razan;PLE;;;;;;;;;;;;0.00;;0.00
414;DADOSH Keren;ISR;;;;;;0.00;;;;;;;;0.00
414;SAFI Malak;PLE;;;;;;;;;;;;0.00;;0.00
416;ABED Nada;KSA;;;;;;;;;;;;0.00;;0.00
416;TAL Sharon;ISR;;;;;;0.00;;;;;;;;0.00
418;SHWARTSMAN Shantelle;ISR;;;;;;0.00;;;;;;;;0.00
418;YEGENMYRADOVA Lachyn;TKM;;;;;;;;;;;;0.00;;0.00
420;ALKHIBIRI Fawzya;KSA;;;;;;;;;;;;0.00;;0.00
421;TAHER Dana;PLE;;;;;;;;;;;;0.00;;0.00
422;FARHAN Lujain;JOR;;;;;;;;;;;;0.00;;0.00
423;NONIS Karen;AUS;;;;;;;;;;;;0.00;;0.00
424;JINDAL Lagan;IND;;;;;;;;;;;;0.00;;0.00
425;ALVIM Maria;POR;;;;0.00;;;;;;0.00;;;;0.00
426;BILAL Shouq;UAE;;;;;;;;;;;;0.00;;0.00
426;MUMTAJ Mumtaj;IND;;;;;;;;;;;;0.00;;0.00
428;ALSHAMMA Reem;UAE;;;;;;;;;;;;0.00;;0.00
429;AL FAWAEER Nour;JOR;;;;;;;;;;;;0.00;;0.00
430;ALVES Marta;POR;;;;0.00;;;;;;0.00;;;;0.00
431;PALK Madli;EST;;;;;;;;;;0.00;;;;0.00
432;POYSTI Laura;FIN;;;;;;;0.00;;;0.00;;;0.00;0.00
433;SA Madalena;POR;;;;0.00;;;;;;0.00;;;0.00;0.00
434;DE LANDTSHEER Ellen;BEL;;;0.00;0.00;;;;0.00;;;;;;0.00
435;ZENS Anna;LUX;;;0.00;;;;;;;;;;;0.00
436;VILLARD Louise-Amelie;FRA;;;;;;;;0.00;;;;;;0.00
437;AMADOR Marta;ESP;;;;;0.00;;;;;;;;;0.00
437;LURYE Sarah;USA;;;0.00;;;;;;;;;;;0.00
439;LOH Pauline;GER;;;;0.00;0.00;;;;;;;;;0.00
440;LUI Leanna;CAN;;;0.00;;;;;;;;;;;0.00
440;SZONDI Laura;HUN;;;;;0.00;;;;;;;;;0.00
442;VERRI Erica;ITA;;;;;;;;0.00;;;;;;0.00
443;KUZNETSOVA Jelizaveta;EST;;;0.00;;0.00;;;;;;;;;0.00
444;GRABOVSKYTE Lurde;LTU;;;;;;;;;;;;;0.00;0.00
445;SOTNIKAVA Darya;BLR;;;;;;;;;;;;;0.00;0.00
446;PATCHEN Alexandra;AUS;;;0.00;0.00;;;;;;;;;;0.00
447;SADLER Louise;GBR;;;;;;;;0.00;;;;;;0.00
448;BESTER Natania;RSA;;;;;;;;;;;;;0.00;0.00
448;DI SARNO Lucia;ITA;;;;;0.00;;;;;;;;;0.00
450;ELSHAMY.A Inour;EGY;;;;;;;;;;;;;0.00;0.00
451;JASKULLA Klara;GER;;;;;;;;0.00;;;;;;0.00
451;TOFFELMIRE Amelia;USA;;;;;;;;0.00;;;;;;0.00
453;WATANABE Ami;JPN;;;0.00;;;;;;;;;;;0.00
454;CARADO Keona Rose;PHI;;;;;;;;;;;;;0.00;0.00
454;ICHIKAWA Mariko;JPN;;;0.00;;;;;;;;;;;0.00
456;MOISEEVA Ekaterina;RUS;;;0.00;;;;;;;;;;;0.00
457;ROSKOVA Sonja;SVK;;;0.00;0.00;0.00;;0.00;0.00;;;;;;0.00
458;BEAUNES Eloise;FRA;;;;;;;;0.00;;;;;;0.00
459;BURKHARD Isabelle;SUI;;;0.00;;;;;;;;;;;0.00
460;DAURAT Carla;FRA;;;;;;;;0.00;;;;;;0.00
461;VAN DE VELDE Noa;BEL;;;0.00;;;;;0.00;;;;;;0.00
462;DUDLEY Amelia;GBR;;;;;0.00;;;;;;;;;0.00
462;REKUTE Monika;LTU;;;;;;;;;;;;;0.00;0.00
464;DINIS Luana;POR;;;;0.00;;;;;;;;;0.00;0.00
465;STRZELCZYK Olga;POL;;;0.00;;;;;;;;;;;0.00
466;ALIS JUNADY Jeanna Leia;MAS;;;;;;;;;;;;;0.00;0.00
466;IWAO Karen;JPN;;;0.00;;;;;;;;;;;0.00
468;LULEVA Ekaterina;BUL;;;;;;;;;;;;;0.00;0.00
469;AIGERMANOVA Gabriela;CZE;;;;;0.00;;0.00;;;;;;;0.00
470;GLINKIN Karol-Liina;EST;;;0.00;;;;;;;;;;;0.00
470;PRAXMARER Leonore;AUT;;;;;0.00;;;;;;;;;0.00
472;HEAPS Jasmine;GBR;;;;;0.00;;;;;;;;;0.00
473;AMER Mariam;EGY;;;;;;;;;;;;;0.00;0.00
474;MISAKI Saaya;JPN;;;0.00;;;;;;;;;;;0.00
475;TSIRONI Anna;GRE;;;;;;;;;;;;;0.00;0.00
475;VUCKOVIC SOKOVIC Viktorija;CRO;;;;;0.00;;;;;;;;;0.00
475;HEBAL Celia;ALG;;;;;0.00;;;;;;;;;0.00
478;RAKHIMOVA Sevara;UZB;;;;;;;;;;;;;0.00;0.00
479;LAM Hui Xin;SGP;;;;;;;;;;;;;0.00;0.00
480;PRAFIL CAPACCIO Rayllen Delfina;ARG;;;;;;;;;;;;;0.00;0.00
480;WHITEHEAD Lily;AUS;;;;;;;;;;;;;0.00;0.00
482;BERMEJO Julia;PER;;;;;;;;;;;;;0.00;0.00
482;BRANDONI Lara;PER;;;;;;;;;;;;;0.00;0.00
484;CHEN Syuan-Yu;TPE;;;;0.00;;;;;;;;;;0.00
485;GIL LOPEZ Carlota;ESP;;;;0.00;;;;;;;;;;0.00
486;PASCHE Alyssa;SUI;;;;0.00;;;;;;;;;;0.00
486;TENO Raquel;ESP;;;;0.00;;;;;;;;;;0.00
488;FRYSTACKA Patrycja;POL;;;;;;;0.00;;;;;;;0.00
489;COOPER Claire;NZL;;;;;;;0.00;;;;;;;0.00
490;VIDAL Paula;ESP;;;;0.00;;;;;;;;;;0.00
491;KORINKOVA Magdalena;CZE;;;;;;;0.00;;;;;;;0.00
492;MARQUES Ana Rita;POR;;;;0.00;;;;;;;;;;0.00
493;TOKUSHIMA Sae;JPN;;;;0.00;;;;;;;;;;0.00
494;LIN Yun-Jen;TPE;;;;0.00;;;;;;;;;;0.00
494;LESNIEWSKA Marta;POL;;;;0.00;;;;;;;;;;0.00
496;SCETKO Patricija;LTU;;;;;;;0.00;;;;;;;0.00
496;LEVER Rachael;GBR;;;;;;;0.00;;;;;;;0.00
498;CAMPBELL Tamsyn;NZL;;;;;;;0.00;;;;;;;0.00
499;GONZALEZ RIVERAS Sara;ESP;;;;0.00;;;;;;;;;;0.00
500;DROR Yasmin Bertin;ISR;;;;0.00;;;;;;;;;;0.00
501;THIM Lovisa;SWE;;;;0.00;;;0.00;;;;;;;0.00
502;RODRIGUEZ GOMEZ Naiara;ESP;;;;0.00;;;;;;;;;;0.00
503;GRAMAGE Blanca;ESP;;;;0.00;;;;;;;;;;0.00
504;STRAKOVA Julianna;SVK;;;;;;;0.00;;;;;;;0.00
