RANK;ATHLETE;NATION;San Salvador A;San-Juan A;Luxembourg A;Burgos A;Udine A;Maalot A;Bratislava A;Dijon A;Alger CHZ;Foggia CHZ;Bogota CHZ;Amman CHZ;TORUN CHM;TOTAL
82;GRIJAK Jana;SRB;;;;;1.00;;0.50;;;12.00;;;5.00;18.50
83;DOSKOVA Katerina;CZE;;;1.00;2.00;;;0.50;4.00;;6.00;;;5.00;18.50
84;FALINSKA Julia;POL;;;8.00;2.00;;;;;;3.00;;;5.00;18.00
85;JANELLI Zofia;POL;;;8.00;1.00;;;4.00;;;;;;5.00;18.00
86;TALEN Andra;EST;;8.00;2.00;0.50;;;1.00;0.50;;3.00;;;2.50;17.50
87;BENEA Bianca;ROU;;;;0.50;;;4.00;;;3.00;;;10.00;17.50
88;BEDDINGFIELD Claire;USA;;14.00;2.00;;;;1.00;;;;;;;17.00
89;MASLENNIKOVA Sofya;RUS;;;4.00;1.00;;4.00;0.00;8.00;;;;;;17.00
90;LUCANI Lola;FRA;;;1.00;4.00;1.00;8.00;2.00;1.00;;;;;;17.00
91;JARAMILLO QUEVEDO Maria De Los Angeles;COL;;;;;;;;;;;12.00;;5.00;17.00
92;GRASSO Agata Alberta;ITA;;;8.00;1.00;4.00;;2.00;2.00;;;;;;17.00
93;MEDINA Elizabeth;MEX;;14.00;;;;;;;;;;;2.50;16.50
94;SERSOT Jade;FRA;;;;;;4.00;8.00;4.00;;;;;;16.00
95;SAMKO Anastasiia;UKR;;;;2.00;0.50;;4.00;4.00;;3.00;;;2.50;16.00
96;LOEHR Lisa-Marie;GER;;;2.00;2.00;2.00;;1.00;1.00;;3.00;;;5.00;16.00
97;ANDERSEN Madeleine;AUS;;;1.00;0.25;;;;;;;;12.00;2.50;15.75
98;PREDESCU Alexandra;ROU;;;;2.00;;;0.50;;;3.00;;;10.00;15.50
99;BONAL Margaux;FRA;;;;;1.00;14.00;0.25;;;;;;;15.25
100;ONG Rebecca Jia Min;SGP;;;;1.00;2.00;;;;;;;12.00;;15.00
101;SALIGEROVA Katerina;CZE;;;4.00;1.00;2.00;;0.50;2.00;;3.00;;;2.50;15.00
102;JAAKKOLA Outi;FIN;;;;0.25;8.00;;1.00;;;3.00;;;2.50;14.75
103;ABDUL RAHMAN Kiria Tikanah;SGP;;;;;;;;;;;;12.00;2.50;14.50
104;BOS Valentina;SUI;;;4.00;0.50;1.00;;2.00;4.00;;3.00;;;;14.50
105;KARDOS Edina;HUN;;;;2.00;8.00;;0.25;4.00;;;;;;14.25
106;GUIMARAES Maria Carolina;BRA;14.00;;;;;;;;;;;;;14.00
107;MARTINEZ VIDAL Elisa;ESP;;;;14.00;0.00;;;;;;;;0.00;14.00
108;MANGANO Ariana;USA;;14.00;;;;;;;;;;;;14.00
109;VOROBIEVA Anastasia;RUS;;;0.00;14.00;;;;;;;;;;14.00
110;HATZ Fiona;SUI;;;;;;;2.00;4.00;;3.00;;;5.00;14.00
111;BAVUGE KHABIMANA Milen;RUS;;;;1.00;2.00;;2.00;8.00;;;;;;13.00
112;GRADY Miriam;USA;;4.00;8.00;;;;0.50;;;;;;;12.50
113;PICART Scarlett;CHI;;;;;;;0.00;0.50;;;12.00;;0.00;12.50
114;CENA Marzia;ITA;;;8.00;0.50;4.00;;;;;;;;;12.50
115;ZAKHARENKO Antonina;RUS;;;4.00;0.50;2.00;4.00;2.00;;;;;;;12.50
116;NAZIH Mariam;EGY;;;;0.00;;;;;12.00;;;;;12.00
117;BEN GOUTET Feriel;TUN;;;;;;;;;12.00;;;;;12.00
118;BURGER Mieke;RSA;;;;;;;;;12.00;;;;;12.00
118;MAMI Nour El Houda;TUN;;;;;;;;;12.00;;;;;12.00
120;KHATRI Taniksha;IND;;;;;;;;;;;;12.00;;12.00
121;MALEK Leia Racha;ALG;;;;;;;;;12.00;;;;;12.00
122;PIRKOWSKI Amanda;USA;;;2.00;;;;8.00;2.00;;;;;;12.00
123;GNINGUE Diarrietou Lahi;SEN;;;;;;;;;12.00;;;;;12.00
124;LAGGOUNE Hanane;ALG;;;;;;;;;12.00;;;;;12.00
124;TORRES Diana;MEX;;;;;;;;;;;12.00;;;12.00
126;BERTOGLIO Francesca;ITA;;;;2.00;1.00;;8.00;1.00;;;;;;12.00
127;ZETTERMANN Renata;BRA;;;;;;;;;;;12.00;;0.00;12.00
128;VAN MANEN Anokha;RSA;;;;;;;;;12.00;;;;;12.00
129;LOMBARDI Marta;ITA;;;2.00;1.00;4.00;;1.00;4.00;;;;;;12.00
130;KANEVSKI Vera Maia Devi;ISR;;;2.00;1.00;1.00;4.00;1.00;;;3.00;;;0.00;12.00
131;HAENDLER Anja;GER;;;0.50;0.50;2.00;;4.00;;;;;;5.00;12.00
132;CONRAD Alice;FRA;;;4.00;0.25;0.50;4.00;2.00;1.00;;;;;;11.75
133;BAROSAN Denisa;ROU;;;;4.00;;;0.25;;;6.00;;;1.25;11.50
134;HILBRIG Viktoria;GER;;;2.00;4.00;1.00;;0.25;1.00;;3.00;;;;11.25
135;KIM Dain;KOR;;;;;;;;;;;;6.00;5.00;11.00
136;KELLER Camille;FRA;;;2.00;1.00;2.00;4.00;0.00;2.00;;;;;;11.00
137;PRINCIPE Emily;AUS;;4.00;;;1.00;;;;;;;6.00;;11.00
138;JASNA Tereza;CZE;;;2.00;2.00;2.00;;4.00;1.00;;;;;;11.00
139;ZHANSUGUROVA Shantal;KAZ;;;0.00;;;;0.50;2.00;;;;6.00;2.50;11.00
140;NIKOLAICHUK Sofiya;KAZ;;;1.00;;;;0.25;4.00;;;;3.00;2.50;10.75
141;KOMAR Sofia;USA;;8.00;2.00;;;;0.25;;;;;;;10.25
142;CAMPANI Letizia;ITA;;;;2.00;8.00;;;;;;;;;10.00
